playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
pryorgr01,1984,KCA,AL,ALCS,3B,1,0,3.0,1,0,0,0,0,,,
myersra01,1990,CIN,NL,NLCS,Р,4,0,17.0,0,0,0,0,0,,1.0,0.0
koskico01,2004,MIN,AL,ОДЛС2,3B,4,4,122.0,4,4,0,1,0,,,
luzingr01,1976,PHI,NL,NLCS,LF,3,3,72.0,6,0,0,0,0,,,
vanslan01,1985,SLN,NL,NLCS,RF,5,3,81.0,6,0,0,0,0,,,
martica01,1990,PIT,NL,NLCS,1B,2,2,51.0,15,1,0,1,0,,,
morame01,1999,NYN,NL,NLCS,RF,2,1,52.0,3,2,0,0,0,,,
koosmje01,1973,NYN,NL,NLCS,Р,1,1,27.0,0,0,0,0,0,,0.0,0.0
boggswa01,1990,BOS,AL,ALCS,3B,4,4,102.0,6,10,0,2,0,,,
michaja01,2007,CLE,AL,ОДЛС2,RF,1,1,21.0,0,0,0,0,0,,,
morrija02,1992,TOR,AL,WS,Р,2,2,32.0,0,1,0,0,0,,4.0,1.0
blausje01,1992,ATL,NL,NLCS,СС,7,7,171.0,8,17,2,1,0,,,
giambja01,2002,NYA,AL,ОДЛС1,1B,3,3,75.0,26,1,0,4,0,,,
noblera01,1951,NY1,NL,WS,C,2,0,9.0,0,1,0,0,0,0.0,0.0,1.0
varitja01,1998,BOS,AL,ОДЛС1,C,1,1,24.0,5,0,0,0,0,2.0,1.0,0.0
leebi03,1981,MON,NL,NLCS,Р,1,0,1.0,0,0,0,0,0,,0.0,0.0
johnsje01,1971,SFN,NL,NLCS,Р,1,0,4.0,0,0,0,0,0,,0.0,0.0
chaveen01,2006,NYN,NL,НЛДС1,LF,2,0,27.0,2,0,0,0,0,,,
darkal01,1948,BSN,NL,WS,СС,6,6,156.0,7,12,3,1,0,,,
murphed02,1914,PHA,AL,WS,RF,4,4,111.0,4,0,0,0,0,,,
dreiscl01,1946,BOS,AL,WS,Р,1,0,1.0,0,0,0,0,0,,0.0,0.0
shawkbo01,1926,NYA,AL,WS,Р,3,1,30.0,0,1,0,0,0,,0.0,2.0
grichbo01,1974,BAL,AL,ALCS,2B,4,4,105.0,13,12,1,3,0,,,
demerla01,1974,PIT,NL,NLCS,Р,2,0,3.0,0,1,0,0,0,,0.0,0.0
hamptmi01,2003,ATL,NL,НЛДС2,Р,2,2,38.0,1,4,0,1,0,,0.0,0.0
etchean01,1970,BAL,AL,WS,C,2,2,54.0,10,0,1,0,0,0.0,0.0,0.0
dimagjo01,1938,NYA,AL,WS,CF,4,4,108.0,10,0,0,0,0,,,
walkedi02,1941,BRO,NL,WS,RF,5,5,132.0,14,0,0,0,0,,,
ericksc01,1996,BAL,AL,ALCS,Р,2,2,34.0,0,2,0,0,0,,2.0,0.0
hitchst01,1998,SDN,NL,NLCS,Р,2,2,30.0,1,1,0,0,0,,2.0,0.0
marquja01,2005,SLN,NL,NLCS,Р,3,0,16.0,0,0,1,0,0,,0.0,0.0
grichbo01,1979,CAL,AL,ALCS,2B,4,4,107.0,4,12,1,4,0,,,
