lake,country,province
Озеро Насер,СУД,Восточное Средиземноморье
Каспийское море,АЗ,Азербайджан
Озеро Шамплен,КДН,Кبک
Озеро Тахо,США,Невада
Озеро Чилва,МОК,Ниасса
Озеро Титаникака,ПЭ,Пуно
Озеро Балчаш,КАЗ,Алматы
Озеро Кебан,ТР,Малатия
Вёртва́льдерзее,Ч,НВ
Озеро Эри,КДН,Онтарио
Озеро Скутари,МНЭ,Черногория
Озеро Никарагуа,КР,Алахуела
Озеро Балчаш,КАЗ,Жезказган
Озеро Танкане,ЕАК,Рифтовая долина
Озеро Тангanyika,Зре,Шаба/Катанга
Озеро Бангуелю,З,Северный
Озеро Эри,США,Мичиган
Лаачер Мар,D,Райнланд-Пфальц
"Озеро Марки́зо (Spanish: Lago Maracaibo) — крупное пресное озеро в Южной Америке, расположенное на границе Венесуэлы и Мексики. Это самое большое озеро в Латинской Америке по площади поверхности и второе по величине пресноводное озеро в мире после озера Нила, если судить по объёму воды.",ВИ,Зули́я
Озеро Гарда,я,Ломбардия
Озеро Бангуелю,З,Луапула
Оゼロ Ладога,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Ленингтонская область
Имя: Нам Ко,ТЖ,Тибет
Ла-Гуна-Мар-Чикита,РА,Сан-Фе
Сторуман,Здравствуйте! Как я могу вам помочь?,Вастеработтен
Озеро Охрид,АЛ,Албания
Океанский залив Несса,ГБ,Страсмейн
Озеро Тангanyika,Ешь,Кигома
Озеро Виктория,Ешь,Кагера
Озеро Малави,Ешь,Рувума
Хамун е Джаз Муриан,ИР,Систан и Baluchestan
Салар-де-Юни,БОЛ,Боливия
Озеро Виктория,ЕАУ,Уганда
Озеро Кентукки,США,Кентукки
Арезо,ДК,Дания
Озеро Киву,Зре,Киву
Каллавеси,SF,Куопио
Озеро Кентукки,США,Теннесси
Озеро Тана,ЭФИ,Эфиопия
Каспийское море,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Астраханская область
Пирамидное озеро,США,Невада
Чадское озеро,ВАН,Нигерия
Балатон,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Весьпрем
Боденське озеро,D,Бавария
Озеро Виктория,ЕАК,Западный
Озеро Тангanyika,Ешь,Табора
Океан-Лейк,США,Флорида
Оzero Таймыр,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Красноярский край
Озеро Псковское,ОВ,Эстония
Озеро Преспа,МК,Македония
Озеро Мичиган,США,Мичиган
Озеро Франклина Д. Рузвельта,США,Вашингтон
Великий Слахойский озеро,КДН,Северо-Западные территории
Озеро Мейд,США,Невада
Каспийское море,ИР,Мазандеран
Вёртва́льдерзее,Ч,ЛУ
Озеро Киога,ЕАУ,Уганда
Озеро Мичиган,США,Иллинойс
Балатон,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Зала
Ваттерен,Здравствуйте! Как я могу вам помочь?,Скарабей
О Zero Байкал,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Бурятия
Озеро Виктория,ЕАК,Ньяса
Озеро Манагуа,НИХ,Никарагуа
Озеро Тахо,США,Калифорния
О zero Онежь,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Карелия
Чев Бахир,ЭФИ,Эфиопия
Руантанзиге/Эдвардсее,Зре,Киву
Ваттерен,Здравствуйте! Как я могу вам помочь?,Джонкопинг
Озеро Кебан,ТР,Эльбазиг
Озеро Чилва,МВ,Малави
Озеро Маджоре,я,Пьемонте
Озеро Ньяса,RB,Ботсван
Озеро Абая,ЭФИ,Эфиопия
Боденське озеро,D,Баден-Вюртемберг
Озеро Маджоре,я,Ломбардия
Озеро Мейд,США,Аризона
Вёртва́льдерзее,Ч,Ш
Уолл-Джейерви,SF,Уулу
Озеро Эйаси,Ешь,Аруша
Ликанкубарский кратерный озеро,БОЛ,Боливия
Пайяянне,SF,Хайме
Балатон,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Феэр
Озеро Эри,США,Нью-Йорк
Океанский залив Несса,ГБ,Центральный
Озеро Чапала,Мексика,Халиско
Озеро Каинджи,ВАН,Нигерия
Каспийское море,ИР,Гилан
Боденське озеро,А,Ворарлберг
Озеро Натрон,Ешь,Аруша
Озеро Гезери́т,IЛ,Север
Озеро Охрид,МК,Македония
Озеро Танкане,ЭФИ,Эфиопия
Озеро Ван,ТР,Ван
Озеро Тангanyika,Зре,Киву
Ваенерн,Здравствуйте! Как я могу вам помочь?,Альсвуг
Аммерзее,D,Бавария
Балатон,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Самогит
Озеро Гарда,я,Венето
Лоп Нор,ТЖ,Синьцзян-Уйгурский автономный район
Иссык-Куль,КГЗ,Киргизстан
Озеро Трасимено,я,Умбрия
Озеро Берли Гриффин,Австралия,Австралийский столичный регион
"Озеро Марки́зо (Spanish: Lago Maracaibo) — крупное пресное озеро в Южной Америке, расположенное на границе Венесуэлы и Мексики. Это самое большое озеро в Латинской Америке по площади поверхности и второе по величине пресноводное озеро в мире после озера Нила, если судить по объёму воды.",ВИ,Мерида
Озеро Собрадинго,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Бахия
Ла-Гуна-Мар-Чикита,РА,Кордова
Озеро Преспа,АЛ,Албания
Озеро Леман,Ч,VD
Озеро Сакакауэа,США,Монтана
Макарикари Соленое озеро,RB,Ботсван
Оゼロ Ладога,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Карелия
