name,area,depth,altitude,type,river,longitude,latitude
Озеро Карибا,5580.0,32.0,,искусственный,Замбеци,28.75,-16.5
Дарячее Нама́к,1800.0,1.0,790.0,соль,,51.88,34.5
Озеро Чапала,1685.0,12.0,1520.0,,Рио Лерма,-103.05,20.22
Озеро Насер,5250.0,180.0,183.0,искусственный,Нил,31.75,22.4
Руантанзиге/Эдвардсее,2325.0,112.0,920.0,,Семлики,29.6,-0.35
Озеро Аббе,320.0,37.0,243.0,соль,,41.8,11.2
Озеро Танкане,6405.0,73.0,375.0,соль,,36.1,3.6
Океанский залив Несса,56.0,226.0,16.0,,,-4.44,57.31
Озеро Ирасу,1.0,,3200.0,кислота,,-83.9,10.0
Озеро Никарагуа,8157.0,45.0,31.0,,Рио Сан-Хуан,-85.35,11.6
Чадское озеро,23000.0,7.0,250.0,соль,,14.0,13.2
Балатон,594.0,12.5,104.0,,,17.6,46.8
Имя: Нам Ко,1855.0,125.0,4718.0,соль,,90.55,30.7
Ла-Гуна-Мар-Чикита,5770.0,19.0,71.0,соль,,-62.67,-30.5
Озеро Скутари,368.0,44.0,7.0,,,19.3,42.2
Иссык-Куль,6236.0,668.0,1609.0,соль,,77.2,42.4
Озеро Ньос,,208.0,,кальдера,,10.3,6.44
Озеро Эри,25745.0,64.0,174.0,,Ниагарский водопад,-81.27,42.16
Озеро Эйр,9500.0,4.0,-17.0,соль,,137.3,-28.6
Сайма,4370.0,85.0,76.0,,Вуокса,28.0,61.3
Озеро Бракьяно,57.0,160.0,164.0,кальдера,,12.2,42.1
озеро Маниконган,1942.0,,350.0,влияние,,-68.7,51.4
Озеро Киога,1720.0,5.7,914.0,,Виктория Нил,33.0,1.5
Озеро Тшаны,2500.0,106.0,10.0,,,77.5,54.9
Лоп Нор,5000.0,0.0,780.0,соль,,90.6,40.2
Озеро Псковское,3555.0,14.6,30.0,,Нарв,27.49,58.68
Оゼロ Ладога,18400.0,225.0,4.0,,Новый,31.53,60.82
Нойшвидлер-Зе,320.0,1.8,115.5,,,16.7,47.8
Тунер-зее,48.3,217.0,558.0,,Аарэ,7.716,46.69
Озеро Онтарио,18960.0,244.0,75.0,,Река Святого Лаврентия,-77.96,43.695
Озеро Мверу,5120.0,27.0,931.0,,Люва,28.7,-9.0
Озеро Кебан,675.0,,,,Еуфрат,38.75,38.8
Озеро Титаникака,8372.0,281.0,3812.0,,Рио-Дешадо,-69.33,-15.84
Ликанкубарский кратерный озеро,0.005,,5600.0,kráтер,,-67.9,-22.8
Мёса-Сэ,368.0,449.0,123.0,,Лаген,11.0,60.65
Барраж де Мбакау,,,,искусственный,Санага,12.75,6.4
Озеро Тана,3000.0,14.0,1830.0,,Блу Нил,37.3,12.0
Оозеро Араль,17160.0,35.0,31.0,соль,,59.62,44.81
