sea,country,province
Средиземное море,ТР,Баликесир
Арктический океан,США,Аляска
Тихоокеанский океан,США,Вашингтон
Карибское море,ПА,Бокас-дель-Торо
Чёрное море,ТР,Самсун
Канал,ГБ,Восточный Сассекс
Северное море,НЛ,Зелён
Атлантический океан,"Пожалуйста, предоставьте текст для перевода.",Виану-ду-Каштру
Северное море,ГБ,Высокогорье
Средиземное море,ТР,Хатай
Тихоокеанский океан,Австралия,Виктория
Атлантический океан,ТТ,Тринидад и Тобаго
Атлантический океан,США,Виргиния
Карибское море,С,Гуатамальта
Карибское море,Клиент,Чоко
Яма́йское мо́ре,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Шимане
Тихоокеанский океан,ТO,Тонга
Кэттегат,Здравствуйте! Как я могу вам помочь?,Кристиансанд
Персидский залив,ИР,Бушир
Атлантический океан,С,Вилла-Клара
Атлантический океан,Зре,Бас-Зайр
Тихоокеанский океан,ЭК,Эквадор
Атлантический океан,КДН,Новый Брунсвик
Канал,ГБ,Корнволл
Индийский океан,Ри,Индонезия
Яма́йское мо́ре,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хоккайдо
Красный море,ЕР,Эритрея
Карибское море,ВИ,Дельта Амакуро
Кэттегат,Здравствуйте! Как я могу вам помочь?,Малмехус
Тихоокеанский океан,АМСА,Американская Самоа
Бангла- залив,Индия,Андаманские и Никобарские острова
Тихоокеанский океан,НИХ,Никарагуа
Карибское море,ГКА,Гватемала
Тихоокеанский океан,США,Гавайи
Жёлтое море,РОК,Южная Корея
Карибское море,ХСА,Атлантида
Яма́йское мо́ре,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Нигата
Оманское залив,ОАЭ,Аль-Фуджайра
Тихоокеанский океан,RC,Тайвань
Карибское море,ВИ,Сукре
Атлантический океан,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Кантавья
Средиземное море,я,Сицилия
Индийский океан,SP,Сомали
Карибское море,Клиент,Антьокия
Индийский океан,АССА,Квазулу-Натал
Атлантический океан,США,Нью-Джерси
Балтийское море,SF,Вааса
Берингово море,США,Аляска
Тихоокеанский океан,ПАЛ,Палау
Чёрное море,ТР,Кастамону
Тихоокеанский океан,Клиент,Чоко
Балтийское море,SF,Аланд
Тихоокеанский океан,ГВАМ,Гوام
Атлантический океан,С,Гольчин
Атлантический океан,"Пожалуйста, предоставьте текст для перевода.",Авеиро
Карибское море,КР,Лимон
Гольфстрим,США,Флорида
