island,country,province
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Нигата
Фуэнен,ДК,Дания
Мужской,МВ,Мальдивы
Великая Британия,ГБ,Кумбрия
Гран-Канария,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Канарские острова
Мадагаскар,РМ,Фианарантсао
Сулевеси,Ри,Индонезия
Мауи,США,Гавайи
Великая Британия,ГБ,Тайсайд
Великая Британия,ГБ,Кардифф
Великая Британия,ГБ,Западный Йоркшир
Великая Британия,ГБ,Гэмпшир
Лампедуза,я,Сицилия
Анжуань,COМ,Коморы
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кёто
Великая Британия,ГБ,Авон
Шри-Ланка,КЛ,Шри-Ланка
Сао-Мигел,"Пожалуйста, предоставьте текст для перевода.",Азоры
Сипан,НМИС,Северные Марианские острова
Гран-Терр,ГУАД,Гваделупа
Аличути,я,Калабрия
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Тоттори
Тэ Вака-а-Мауи (Южный остров),Новая Зеландия,Новая Зеландия
Остров Баффин,КДН,Северо-Западные территории
Бенбекул,ГБ,Внешние Херывыды
Великая Британия,ГБ,Чешир
Негрос,РП,Филиппины
Остров Уайт,ГБ,Остров Уайт
Стромболи,я,Калабрия
Бугенвиль,PNG,Папуа-Новая Гвинея
Уполу,WS,Самоа
Фе́рмерн,D,Шлезвиг-Гольштейн
Вулкано,я,Калабрия
Пелльворм,D,Шлезвиг-Гольштейн
Ро́дос,ГР,Нотион Аияион
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Гумма
Великая Британия,ГБ,Оксфордшир
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Тошиги
Великая Британия,ГБ,Грампиан
Лангёог,D,Нижняя Саксония
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Канагава
Борнхольм,ДК,Дания
Мадагаскар,РМ,Тома́син
Шикоку,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Токушима
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Осака
Куба,С,Лас-Тунас
Минданао,РП,Филиппины
Файаль,"Пожалуйста, предоставьте текст для перевода.",Азоры
Тайвань,RC,Тайвань
Лаван,ИР,Персий
Гозо,М,Мальта
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Ивате
Кюсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Сага
Кюсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кумамото
Великая Британия,ГБ,Беркшир
Сао-Джорже,"Пожалуйста, предоставьте текст для перевода.",Азоры
Мальорка,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Балеарские острова
Парамушир,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Камчатский край
Остров Рождества,РАЗГУДИТЕЛЬНОЕ ВРЕМЯ,Остров Рождества
Тринидад,ТТ,Тринидад и Тобаго
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Аомори
Великая Британия,ГБ,Южный Йоркшир
Великая Британия,ГБ,Линкольншир
Юра,ГБ,Страсмейн
Ниуэ,Нуэ,Ниуэ
Крета,ГР,Крити
Жерси,"Okay, I will only provide translations without additional text or extra information.",Жерси
Великая Британия,ГБ,Уилтшир
Микелон-Ланглад,Спами,Сент-Пьер и Микелон
Остров Сан-Клементе,США,Калифорния
Великая Британия,ГБ,Саффолк
Великая Британия,ГБ,Пембрукшир
Бонаир,No additional text provided. Please provide the text you would like translated.,Нидерландские Антильские острова
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Шига
Корор,ПАЛ,Палау
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Ибараки
Циклы,ГР,Ионийские острова
Гوام,ГВАМ,Гوام
Великая Британия,ГБ,Файф
Великая Британия,ГБ,Дербишир
Сент-Мартин,СМАР,Сент-Мартин
Остров Котельный,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Саха (Якутия)
Антигуа,АГ,Антигуа и Барбуда
Ирландия,ГБ,Северная Ирландия
Великая Британия,ГБ,Западный Мидлендс
Ланаи,США,Гавайи
Техель,НЛ,"Нидерланды, Северная Голландия"
Тобаго,ТТ,Тринидад и Тобаго
Пулов Пanjang,Коко,Кокосовые острова
Сансибар,Ешь,Западная часть
Хельгольм,D,Шлезвиг-Гольштейн
Оланд,Здравствуйте! Как я могу вам помочь?,Калмаре
Доброго дня! Чим я можу Вам допомогти?,"Пожалуйста, предоставьте текст для перевода.",Азоры
Балтрум,D,Нижняя Саксония
Гештальт,ИР,Хормозган
Великая Британия,ГБ,Хамберси́д
Куба,С,Духа Святого
Мадагаскар,РМ,Маханганга
Шетландский материк,ГБ,Шетланд
Куба,С,Вилла-Клара
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Акита
Великая Британия,ГБ,Кериджион
Барбуда,АГ,Антигуа и Барбуда
Линоса,я,Сицилия
Гомера,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Канарские острова
Науру,НАО,Науру
Великая Британия,ГБ,Корнволл
Гвадалканал,СЛБ,Соломоновы Острова
Харк,ИР,Персий
Тершеллинг,НЛ,Фризланд
Остров Ометепе,НИХ,Никарагуа
Ангилла,АКСА,Ангилла
Оркней-Мэйнленд,ГБ,Оркнейсы
Ирландия,В реальной жизни,Ирландия
Ванге́ргорж,D,Нижняя Саксония
Цебу,РП,Филиппины
Великий Кайман,Кайм,Каймановы острова
Ломбок,Ри,Индонезия
Шёрингмааког,НЛ,Фризланд
Великая Британия,ГБ,Бакингемшир
Великая Британия,ГБ,Лотиан
Шикоку,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Эхиме
Мая́лт,маё,Мая́лт
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Вакаяма
Великий Бермудский залив,БЕРМ,Бердс-Тайлз
Бали,Ри,Индонезия
Ямайка,Да,Ямайка
Остров Нортгемптон,НОРФ,Остров Нортгемптон
Усedom,ПЛ,Щецинский
Увея,Вафу,Вали и Футуна
Соко́тра,Да,Ямен
Корво,"Пожалуйста, предоставьте текст для перевода.",Азоры
Великая Британия,ГБ,Монмутшир
Исландия,A,Исландия
Фохр,D,Шлезвиг-Гольштейн
Великая Британия,ГБ,Нортгемптоншир
Шикоку,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кагава
Бэнкс-Айленд,КДН,Северо-Западные территории
Панエリア,я,Калабрия
Великая Британия,ГБ,Бридженд
Великий Тёрк,Тука,Туркские и Каймановы острова
Испания,Дом,Доминиканская Республика
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Чиба
Изабелла,ЭК,Эквадор
Тенерифе,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Канарские острова
Невис,КН,Сент-Китс и Невис
Лунди,ГБ,Девон
Ванкуверский остров,КДН,Британская Колумбия
Окинава,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Окинава
Менорка,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Балеарские острова
Южный Рональдсей,ГБ,Оркнейсы
Мохилла,COМ,Коморы
Бангка,Ри,Индонезия
Порту-Саньен,"Пожалуйста, предоставьте текст для перевода.",Мэдейра
Кюсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Миязакки
Ольхон,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Бурятия
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Окайама
Тарава,КИР,Кирибати
Остров Санта-Каталина,США,Калифорния
Сент-Томас,ВИРГ,Виргинские острова
Остров Саутгемптон,КДН,Северо-Западные территории
Великая Британия,ГБ,Гертфордшир
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Мие
Сахалин,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Сахалинская область
Фальстер,ДК,Дания
Великая Земля,Национальное центральное агентство,Новая Каледония
Великая Британия,ГБ,Думфрис и Галлоуэй
Южный Уист,ГБ,Внешние Херывыды
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Шимане
Сент-Китс,КН,Сент-Китс и Невис
Самос,ГР,Вореион Айяион
Рум,ГБ,Высокогорье
Хиос,ГР,Вореион Айяион
Раротонга,КУХАР,Острова Кука
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Токио
Великая Британия,ГБ,Поуис
Амру́н,D,Шлезвиг-Гольштейн
Батам,Ри,Индонезия
Великая Британия,ГБ,Врексем
Тортола,БВИР,Британские Виргинские острова
Великая Британия,ГБ,Сомерсет
Юист,D,Нижняя Саксония
Остров Мельвилл,Австралия,Северная территория
Великая Британия,ГБ,Глостершир
Остров Рене Левассера,КДН,Онтарио
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Нагано
Гренландия,ГРОЗ,Гренландия
Липари,я,Калабрия
Куба,С,Ци́го-де-Авила
Ругун,D,Мекленбург-Передняя Померания
Аруба,АРУ,Аруба
Футуна,Вафу,Вали и Футуна
Кюсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Фукуока
Кюсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Нагасаки
Остров Принс-Эдвард,КДН,Остров Принс-Эдвард
Остров Санта-Роза,США,Калифорния
Ислей,ГБ,Страсмейн
Остров Кэнгуру,Австралия,Южный Австралия
Великая Британия,ГБ,Ронда-Кёнт-Тафф
Сеймланд,ДК,Дания
Арран,ГБ,Страсмейн
Тэ Ика-а-Мауи (Северный остров),Новая Зеландия,Новая Зеландия
Великая Британия,ГБ,Варвикшир
Испания,РХ,Гаити
Гренада,ВГ,Гренада
Керам,Ри,Индонезия
Амбон,Ри,Индонезия
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Аити
Влиланд,НЛ,Фризланд
Великая Британия,ГБ,Девон
Остров Сан-Мигель,США,Калифорния
Бахрейн,БРН,Бахрейн
