desert,country,province
Эрг Ребиана,АРЛ,Ливия
Руб Аль-Чали,ОАЭ,Дубай
Кысылкум,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Джиззак
Джураб,ЧХ,Чад
Тенере,РН,Нигер
Рын,КАЗ,Западный Казахстан
Калахари,АССА,Северо-Запад
Азавад,ММ,Мали
Руб Аль-Чали,ОМ,Оман
Уст-Урт,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Каракыпогистон
Уст-Урт,КАЗ,Актобе
Сонора,США,Аризона
Руб Аль-Чали,ОАЭ,эш Шариках
Калахари,АНГ,Кандембо
Каракум,ТМ,Балкан
Эрг Мактеир,РИМ,Мавритания
Негев,IЛ,Южный
Эрг-Чеч,ДЗ,Алжир
Чихуахуа,США,Аризона
Мурункум,КАЗ,Кызыл-Орда
Каракум,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Самарканд
Калахари,RB,Ботсван
Руб Аль-Чали,СА,Саудовская Аравия
Ордос,ТЖ,Шаньси
Ферло,СН,Луга
Фесан,АРЛ,Ливия
Гран Эрг Ош,ДЗ,Алжир
Оуйхи,США,Идахо
Ливийский пустыня,— Да?,Эль-Минья
Стурт-пустыня,Австралия,Квинсленд
Гоби,ТЖ,ネイ・モンゴルの
Ригестан,Афг,Афганистан
Хамада дю Драа,ДЗ,Алжир
Даште-Лут,ИР,Керман
Каракум,ТМ,Лебан
Тенере,ЧХ,Чад
Сирийская пустыня,Сирия,Сирия
Уст-Урт,КАЗ,Мангышлак
Кум-таг,ТЖ,Синьцзян-Уйгурский автономный район
Стурт-пустыня,Австралия,Северная территория
Даште-Лут,ИР,Систан и Baluchestan
Каракум,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Каракыпогистон
Нулларборская равнина,Австралия,Южный Австралия
Калахари,З,Западный
Моава,США,Аризона
Руб Аль-Чали,ОАЭ,Абудаби
Каракум,ТМ,Мэри
Такла-Макан,ТЖ,Синьцзян-Уйгурский автономный район
Великий бассейн,США,Юта
Красный центр,Австралия,Южный Австралия
Великий бассейн,США,Калифорния
Арабское пустыня,— Да?,エル・バール・エル・アハマー
Чихуахуа,США,Новый Мексико
Дашт-е-Кавир,ИР,Семнан
Рын,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Астраханская область
Руб Аль-Чали,ОАЭ,Умм-аль-Кавин
Гибсон-Desерт,Австралия,Западная Австралия
Великий бассейн,США,Невада
Эрг-Чеч,ММ,Мали
Ливийский пустыня,СУД,Восточное Средиземноморье
Эрг Игиди,РИМ,Мавритания
Азавад,РН,Нигер
Оуйхи,США,Невада
Баха-Калифорния-Десерт,Мексика,Баха-Калифорния
Колорадо-Плейнз,США,Юта
Ферло,СН,Тамबकунда
Руб Аль-Чали,ОАЭ,Аль-Фуджайра
Дашт-е-Кавир,ИР,Тэран
Койдам,ТЖ,Чэньгань
Кысылкум,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Самарканд
Тар,Индия,Раджастхан
Намибия,НАМ,Намибия
Ордос,ТЖ,ネイ・モンゴルの
Эрг Исаван,ДЗ,Алжир
Ливийский пустыня,АРЛ,Ливия
Ливийский пустыня,— Да?,Матруха
Тар,Индия,Гуджарат
Колорадо-Плейнз,США,Кольорадо
Эрг Игиди,ММ,Мали
Гоби,ТЖ,Ганьсу
Ордос,ТЖ,Нинся Хуйцзу
Даште-Лут,ИР,Хорасан
Тар,Индия,Хэриана
Калахари,З,Южный
Даште-Лут,ИР,Язд
