country,population_growth,infant_mortality
БЗ,2.42,33.9
Австралия,0.99,5.5
БРУ,2.56,24.2
СД,3.24,88.4
ГБМ,0.94,2.4
ГБ,0.22,6.4
ГВАМ,1.37,6.05
КАЗ,-0.15,63.2
З,2.11,96.1
ТУВ,1.51,27.6
RB,1.63,54.2
ПЭ,1.74,52.2
Клиент,1.66,25.8
БДС,0.26,18.7
Лаос,2.81,96.8
WS,2.37,34.3
"STP - система управления запуском (English: Staggered Transmission Power control) — техника управления мощностью передачи в беспроводных сетях, которая позволяет оптимизировать использование мощности передачи и улучшить качество обслуживания сети.",2.58,61.1
ФГУ,3.86,14.6
SY,0.76,12.5
СК,0.34,10.7
Хонкс,0.51,2.9
A,0.83,4.3
ММ,2.95,102.7
"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1.16,55.3
Мексика,1.87,25.0
Сирия,3.37,40.0
ЕАК,2.27,55.3
АВР,16.49,118.8
АРУ,1.478,13.79
"Доброго дня! Я готов допомогти вам з перекладу. Надішліть мені текст, який потрібно перекласти, і я зроблю це якомога швидше.",1.47,90.1
ПИТЦ,,
К,2.77,107.8
НАО,1.33,40.6
АКСА,2.27,3.52
НЛ,0.56,4.9
МД,0.18,47.6
РХ,1.77,103.8
ЛВ,-1.39,21.2
SF,0.1,4.9
И,2.96,2.2
ТР,1.67,43.2
Фиджи,1.28,17.4
СУД,3.48,76.0
Резюме,2.93,54.3
"Пожалуйста, предоставьте текст для перевода.",0.02,7.6
ПК,2.24,96.8
OK,1.85,134.1
Че-з,-0.03,8.4
ТН,1.81,35.1
Тука,2.56,13.89
"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",-0.07,24.7
КВТ,6.65,11.1
ГК,2.58,98.0
ТМ,1.82,81.6
A,2.39,19.6
"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",0.48,4.9
Ри,1.53,63.1
БОЛ,1.82,67.5
Нуэ,,
МВ,1.71,139.9
Да,3.56,71.5
В,,
БРН,2.27,17.1
"Конечно! Я могу помочь вам перевести текст с английского на русский. Просто предоставьте мне текст, который вы хотите перевести, и я постараюсь сделать это как можно более точно и естественно звучащим по-русски. Желаю хорошего дня!",1.81,31.9
ЭФИ,2.72,122.8
ВСА,2.46,145.82
РЧ,1.24,13.6
PNG,2.29,60.1
Спами,0.77,9.95
ХЕЛКС,0.45,17.63
А,1.03,33.4
КАМ,2.89,78.7
МНГ,1.69,69.7
ТO,0.82,40.26
GBZ,0.54,6.9
КН,0.98,18.9
В реальной жизни,-0.22,6.4
А,0.41,6.2
МК,0.59,6.9
Индия,1.64,71.1
АМСА,1.22,10.18
"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",0.34,5.3
СВАКС,-0.02,
АЗ,0.78,74.5
СМАР,,
АЛ,1.34,49.2
СМЭ,1.6,29.3
SP,3.1,121.1
МВ,3.52,47.0
COМ,3.55,75.3
МНЭ,-0.851,
КГЗ,0.07,77.8
НАМ,2.93,47.2
ВАН,3.05,72.4
ГБГ,1.28,9.2
"Пожалуйста, предоставьте текст для перевода.",2.67,23.2
Ирак,3.69,60.0
АВТ,2.08,111.7
GE,-1.02,22.5
ПР,0.34,8.42
ЕАУ,2.24,99.4
Национальное центральное агентство,1.14,7.05
No additional text provided. Please provide the text you would like translated.,0.73,9.09
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести:",2.03,40.65
Воссоединение,1.93,7.5
АРЛ,3.67,59.5
ХОЧУ,-0.9,51.4
Ч,0.59,5.4
РМ,2.83,93.5
ВИ,1.89,29.5
ДЖИ,1.5,106.7
БХТ,2.32,116.3
Зре,1.67,108.0
ОВ,-1.13,17.4
ФPOL,1.39,7.55
"Okay, I will only provide translations without additional text or extra information.",0.77,2.7
МА,2.05,43.2
RL,2.16,36.7
Фаркс,-1.8,7.2
WD,0.38,9.6
"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",-1.21,23.2
По,0.2,13.4
НОРФ,,
НИХ,2.67,45.8
ХСА,2.6,41.8
МОК,2.65,125.6
РТ,3.56,84.3
