country,independence,dependent,government
маё,,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Территориальное сообщество Франции
ЕР,1993-05-27,,Переходное правительство
ЭФИ,,,Федеральная Республика
МНЭ,2006-06-03,,парламентская демократия
"""ГНБ"" на русском языке означает ""Государственная пограничная служба"". Это название организации, отвечающей за управление государственной границей и обеспечение ее безопасности.",1974-09-10,,Республика
ПР,,США,"Содружество, связанное с США"
IЛ,1948-05-14,,Республика
БРУ,1984-01-01,,конституционная монархия
ФГУ,,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Отделение за рубежом Франции
КАМ,1960-01-01,,единая республика
А,1238-01-01,,конституционная монархия
С,1902-05-20,,Коммунистическое государство
РАМ,1918-05-28,,Республика
БИХ,1992-04-01,,Возрождающаяся демократия
ВГ,1974-02-07,,парламентская демократия
БЗ,1981-09-21,,парламентская демократия
ИР,1979-04-01,,теократическая республика
OK,1958-10-02,,Республика
СМАР,,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Овернская коллективность Франции
РХ,1804-01-01,,Республика
МЧ,1968-03-12,,парламентская демократия
Коко,,Австралия,территория Австралии
З,1964-10-24,,Республика
ГКА,1821-09-15,,Республика
"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",1905-10-26,,конституционная монархия
ГБ,1801-01-01,,конституционная монархия
БДС,1966-11-30,,парламентская демократия
МАЛ,1957-08-31,,конституционная монархия
ПЭ,1821-07-28,,Республика
БС,1973-07-10,,общество
АВТ,1960-08-13,,Республика
МХ,1986-10-21,,Конституционное правление в свободной ассоциации с США
ТТ,1962-08-31,,парламентская демократия
LS,1966-10-04,,Изменённая конституционная монархия
В реальной жизни,1921-12-06,,Республика
АРЛ,1951-12-24,,Джамаахирия в теории
ПА,1903-11-03,,конституционная республика
Здравствуйте! Как я могу вам помочь?,,,конституционная монархия
Новая Зеландия,1907-09-26,,парламентская демократия
Хонкс,,ТЖ,Специальная административная область в Китае
Тад,1991-09-09,,Республика
Ри,1945-08-17,,Республика
"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",1946-05-25,,конституционная монархия
СА,1932-09-23,,монархия
АНГ,1975-11-11,,Трансмерская власть — это номинальная многопартийная демократия с сильным президентским режимом
США,1776-07-04,,Федеральная Республика
КГЗ,1991-08-31,,Республика
Афг,1919-08-19,,Переходное правительство
КР,1821-09-15,,Демократическая Республика
ММ,1960-09-22,,Республика
SF,1917-12-06,,Республика
Западная Вирджиния,1979-10-27,,конституционная монархия
D,1871-01-18,,Федеральная Республика
БИ,1962-07-01,,Республика
РМ,1960-06-26,,Республика
РА,1816-07-09,,Республика
RC,,,многопартийная демократическая система
Мексика,1810-09-16,,Федеративная республика с централизованной системой управления
МЯ,1948-01-04,,Военная хунта
ФЛ,1719-01-23,,κληρονομичная конституционная монархия
ЗВ,1980-04-18,,парламентская демократия
НОРФ,,Австралия,территория Австралии
КУХАР,,Новая Зеландия,самоуправляемое парламентское правительство в свободной ассоциации с Новой Зеландией
К,1949-11-09,,"многопартийная либеральная демократия под конституционной монархией, созданная в сентябре 1993 года"
COМ,1975-07-06,,независимая республика
Спами,,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Территориальное сообщество Франции
Ц,1960-08-16,,Республика
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,,конституционная монархия
WS,1962-01-01,,Конституционная монархия под руководством коренного вождя
ГБМ,,ГБ,Британская заморская территория
Клиент,1810-07-20,,Республика
РЧ,1810-09-18,,Республика
РМ,0301-01-01,,Республика
Австралия,1901-01-01,,федеративное парламентское государство
И,,,"парламентская демократия, в которой главными государственными деятелями являются сопрезиденты"
ЧХ,1960-08-11,,Республика
АРУ,,НЛ,часть голландского королевства
НЛ,1579-01-01,,конституционная монархия
ЦИ,1960-08-07,,Республика
НЕП,1768-01-01,,парламентская демократия с 12 мая 1991 года
МК,1419-01-01,,конституционная монархия
A,1944-06-17,,Республика
ТЖ,,,Коммунистическое государство
СУД,1956-01-01,,Досадное ранее правившее военную хунту
Ваг,1965-02-18,,Республика при демократическом правлении с участием нескольких партий
АКСА,,ГБ,Британские заморские территории
СК,1993-01-01,,парламентская демократия
ОВ,1991-09-06,,Республика
Газа,,,
БРН,1971-08-15,,традиционная монархия
РН,1960-08-03,,Республика
"STP - система управления запуском (English: Staggered Transmission Power control) — техника управления мощностью передачи в беспроводных сетях, которая позволяет оптимизировать использование мощности передачи и улучшить качество обслуживания сети.",1975-07-12,,Республика
По,1991-08-25,,Республика
РТ,1960-04-27,,"Республика, находящаяся в переходном периоде к многопартийной демократической системе управления"
"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",1001-01-01,,Республика
Вафу,,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Овернское департамент Франции
Тука,,ГБ,Британские заморские территории
ГГ,1957-03-06,,конституционная демократия
SRБ,2006-06-05,,парламентская демократия
Запад,,,
Да,1945-09-02,,Коммунистическое государство
"Пожалуйста, предоставьте текст для перевода.",1811-05-14,,Республика
А,1918-11-12,,Федеральная Республика
ТМ,1991-10-27,,Республика
АССА,1910-05-31,,Республика
ХЕЛКС,,ГБ,Британские заморские территории
LB,,,Республика
Ч,,,Федеральная Республика
НИХ,1821-09-15,,Республика
ЭК,1822-05-24,,Республика
SP,1960-07-01,,"Добро пожаловать в ресторан «Раскол». Мы рады предложить Вам нашим гостям уникальный кулинарный опыт с изысканными блюдами современной русской кухни. Наш шеф-повар использует только самые свежие ингредиенты, чтобы создать незабываемые вкусовые ощущения. От традиционных блюд до современных интерпретаций, мы предлагаем что-то особенное для каждого вкуса. Наслаждайтесь изысканным ужином в нашем элегантном ресторане и откройте для себя новые горизонты русской кухни."
ПК,1947-08-14,,Республика
ГРОЗ,,ДК,часть датского королевства
ДЗ,1962-07-05,,Республика
"Добро пожаловать! Я готов помочь с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",1828-08-25,,Республика
ОМ,1650-01-01,,монархия
СМЭ,1975-11-25,,Республика
СЛО,1991-06-25,,Возрождающаяся демократия
"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1991-08-24,,Федерация
В,1830-10-04,,конституционная монархия
МА,1956-03-02,,конституционная монархия
ВИРГ,,,организованный
"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",1881-01-01,,Республика
ФСМ,1986-11-03,,Конституционное правление в свободной ассоциации с США
ТН,1956-03-20,,Республика
Резюме,1975-07-05,,Республика
