country,continent,percentage
НИХ,Америка,100.0
СЛБ,Австралия/Океания,100.0
СН,Африка,100.0
БФ,Африка,100.0
ГУАД,Америка,100.0
МК,Европа,100.0
АРУ,Америка,100.0
Макс,Азия,100.0
РЧ,Америка,100.0
Лаос,Азия,100.0
ГК,Африка,100.0
Западная Вирджиния,Америка,100.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Азия,100.0
ХЕЛКС,Австралия/Океания,100.0
КН,Америка,100.0
ХР,Европа,100.0
SRБ,Европа,100.0
"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Азия,100.0
РИМ,Африка,100.0
ЭК,Америка,100.0
РН,Африка,100.0
ВУ,Австралия/Океания,100.0
РАЗГУДИТЕЛЬНОЕ ВРЕМЯ,Австралия/Океания,100.0
ЧХ,Африка,100.0
МАЛ,Азия,100.0
ФСМ,Австралия/Океания,100.0
К,Азия,100.0
А,Азия,100.0
GBZ,Европа,100.0
Здравствуйте! Как я могу вам помочь?,Европа,100.0
ГБМ,Европа,100.0
WS,Австралия/Океания,100.0
ОВ,Европа,100.0
ХСА,Америка,100.0
БРУ,Азия,100.0
ТН,Африка,100.0
АССА,Африка,100.0
OK,Африка,100.0
ПАЛ,Австралия/Океания,100.0
SGП,Азия,100.0
ДК,Европа,100.0
НАО,Австралия/Океания,100.0
"Okay, I will only provide translations without additional text or extra information.",Европа,100.0
СЛО,Европа,100.0
АМСА,Австралия/Океания,100.0
С,Америка,100.0
ТУВ,Австралия/Океания,100.0
ГКА,Америка,100.0
ГВАМ,Австралия/Океания,100.0
Мексика,Америка,100.0
Клиент,Америка,100.0
"Пожалуйста, предоставьте текст для перевода.",Америка,100.0
"""ГНБ"" на русском языке означает ""Государственная пограничная служба"". Это название организации, отвечающей за управление государственной границей и обеспечение ее безопасности.",Африка,100.0
ТЖ,Азия,100.0
Запад,Азия,100.0
РТ,Африка,100.0
LB,Африка,100.0
ВГ,Америка,100.0
БВИР,Америка,100.0
ЛВ,Европа,100.0
Газа,Азия,100.0
GE,Азия,100.0
НМИС,Австралия/Океания,100.0
я,Европа,100.0
PNG,Австралия/Океания,100.0
ДЗ,Африка,100.0
ВЛ,Америка,100.0
РМ,Европа,100.0
ВИРГ,Америка,100.0
СВАКС,Европа,100.0
Да,Азия,100.0
НЛ,Европа,100.0
"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Европа,100.0
— Да?,Азия,10.0
ЕАУ,Африка,100.0
"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Америка,100.0
АРЛ,Африка,100.0
"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",Европа,100.0
RC,Азия,100.0
БОЛ,Америка,100.0
НЕП,Азия,100.0
Тад,Азия,100.0
АГ,Америка,100.0
СД,Африка,100.0
Спами,Америка,100.0
РОК,Азия,100.0
ГРОЗ,Америка,100.0
WD,Америка,100.0
РП,Азия,100.0
Хонкс,Азия,100.0
НОРФ,Австралия/Океания,100.0
ДЖИ,Африка,100.0
Да,Азия,100.0
РХ,Америка,100.0
Новая Зеландия,Австралия/Океания,100.0
СУД,Африка,100.0
Ваг,Африка,100.0
БД,Азия,100.0
Че-з,Европа,100.0
Тука,Америка,100.0
КУХАР,Австралия/Океания,100.0
Австралия,Австралия/Океания,100.0
МНЭ,Европа,100.0
"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Европа,100.0
ПЛ,Европа,100.0
"Да, я могу помочь вам с переводом. Просто предоставьте мне текст, который вы хотите перевести с английского на русский язык, и я сделаю это для вас.",Европа,100.0
