name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Маас,,,Северное море,925.0,5.63,47.97,,409.0,4.67,51.72
Сенегал,,,Атлантический океан,1430.0,-12.0,11.5,,,-16.5,15.96
Вольта,,Озеро Вольта,Атлантический океан,1500.0,-4.5,11.0,,,0.68,5.77
Оулуйоки,,,Балтийское море,107.0,27.25,64.3,,123.0,25.2,65.3
Индус,,,Арабское море,3180.0,79.7,32.45,,5300.0,67.4,24.0
Миссури,Миссисипи,Озеро Форт-Пек,,4130.0,-111.5,45.9,,1232.0,-90.12,38.81
Ориноко,,,Атлантический океан,2140.0,-63.5,2.0,Сьерра-Парима,,-62.0,9.0
Хванхо,,,Желтое море,4845.0,96.2,35.3,,4500.0,119.14,37.74
Хорошо.,Волга,,,1480.0,36.1,52.5,,,44.0,56.3
Люкни,Фими,,,900.0,24.5,-6.8,,,16.9,3.0
Ривьер Ришелье,Река Святого Лоуренса,,,124.0,-73.3,45.0,,30.0,-73.1,46.0
Тобол,О,,,1591.0,60.8,51.2,Урал,,68.25,58.2
Сена,,,Канал,776.0,4.71,47.48,,470.0,0.1,49.42
Вёрм,Аммер,Старнбергер См.,,35.0,11.35,48.0,,596.0,11.5,48.3
Катун,О,,,688.0,86.56,49.75,Алтай,2000.0,85.0,52.43
Западная Двина,,,Балтийское море,1020.0,34.0,56.0,Уолдай-Хиллз,228.0,24.1,57.0
Ньюа,,,Балтийское море,74.0,31.53,60.82,,4.0,30.17,59.95
Вейксель,,,Балтийское море,1047.0,19.01,49.61,Бескиды,1100.0,18.95,54.36
Лимат,Aare,,,36.3,8.64,47.23,,406.0,8.23631,47.5018
Река Ниагара,,Озеро Онтарио,,58.0,-78.9,42.9,,174.0,79.1,43.25
Одер,,,Балтийское море,866.0,17.52,49.61,Судьбы,634.0,14.59,53.6
