coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
fitzsco01,1970,PHO,NBA,1,48.0,34.0,0.0,0.0
auerbre01,1963,BOS,NBA,1,59.0,21.0,8.0,2.0
rothsro01,1992,DET,NBA,1,40.0,42.0,0.0,0.0
johnsma02,1993,LAL,NBA,3,5.0,11.0,0.0,0.0
joneskc01,1986,BOS,NBA,1,59.0,23.0,13.0,10.0
nissato01,1977,HOU,NBA,1,28.0,54.0,0.0,0.0
dunlemi01,2003,LAC,NBA,1,28.0,54.0,0.0,0.0
cervial01,1951,SYR,NBA,1,40.0,26.0,3.0,4.0
shuege01,1979,SDC,NBA,1,35.0,47.0,0.0,0.0
soaral01,1947,PRO,NBA,2,2.0,17.0,0.0,0.0
hillbr01,2006,ORL,NBA,1,40.0,42.0,0.0,4.0
guokama02,1989,ORL,NBA,1,18.0,64.0,0.0,0.0
mussebi01,1975,VIR,ABA,3,4.0,22.0,0.0,0.0
holzmre01,1979,NYK,NBA,1,39.0,43.0,0.0,0.0
irvinge01,1988,IND,NBA,3,6.0,14.0,0.0,0.0
shuege01,1972,BAL,NBA,1,52.0,30.0,1.0,4.0
karlge01,1995,SEA,NBA,1,64.0,18.0,13.0,8.0
wilkele01,1993,ATL,NBA,1,57.0,25.0,5.0,6.0
popovgr01,2005,SAS,NBA,1,63.0,19.0,7.0,6.0
drewla01,2011,ATL,NBA,1,40.0,26.0,2.0,4.0
scottby01,2004,NOH,NBA,1,18.0,64.0,0.0,0.0
loughke01,1977,NJN,NBA,1,24.0,58.0,0.0,0.0
seymopa01,1961,STL,NBA,1,5.0,9.0,0.0,0.0
woolpph01,1961,SFS,ABL1,1,6.0,9.0,,
cowenda01,1996,CHH,NBA,1,54.0,28.0,0.0,3.0
obrieji03,2000,BOS,NBA,2,24.0,24.0,0.0,0.0
adelmri01,2000,SAC,NBA,1,55.0,27.0,3.0,5.0
caseydw01,2011,TOR,NBA,1,23.0,43.0,0.0,0.0
wilkele01,2001,TOR,NBA,1,42.0,40.0,2.0,3.0
mooredo01,1949,AND,NBA,3,15.0,11.0,4.0,4.0
mccloja01,1972,POR,NBA,1,21.0,61.0,0.0,0.0
brownhu01,1980,ATL,NBA,1,31.0,48.0,0.0,0.0
ramsaja01,1986,IND,NBA,1,41.0,41.0,1.0,3.0
shuege01,1969,BAL,NBA,1,50.0,32.0,3.0,4.0
