,db_name,number,question,answer
84,Mondial,4,"What is the average economic output of countries where more than 50 babies out of every 1,000 born do not survive their first year?",97585.8
85,Mondial,1,"How can I find the average wealth (measured by GDP) of countries that are republics and have a land size larger than 100,000 square kilometers?",72400.0
86,Mondial,9,How can I find the name and GDP of the country that is a constitutional monarchy and has the code 'MAL'?,Malaysia 193600.0
87,Mondial,7,How can I find the average wealth (measured by GDP) of countries in Asia that have more than 10 million people?,214885.7142857143
88,Mondial,6,How much is the average wealth (measured by GDP) of all the countries that share a border with France?,788.0
89,Mondial,8,"How can I find the average wealth (measured by GDP) of all European countries with populations over 10 million, ignoring any countries where that information isn’t available?",493400.0
90,Basketball_men,10,How can I find the name of a player who won the Most Valuable Player award in the same year that a coach won the NBA Coach of the Year award?,Kareem Abdul-Jabbar
91,Basketball_men,5,How can I find the average number of points scored by players who received an All-Defensive award in the same season?,16.1
92,Basketball_men,2,"What is the average number of points scored per game by players during the seasons when they were selected as All-Stars, only counting seasons where they actually played in at least one game?",1770.8703703703704
93,Basketball_men,3,How can I find the average number of points scored by players who appeared in at least 50 games during the same season?,12.84
94,Basketball_men,4,How many points on average did the players score in the seasons when they were named to the All-NBA First Team?,19.09090909090909
95,Basketball_men,1,How many points on average did the players who made the All-NBA First Team earn in the Western Conference during the same season they received the award?,18.583333333333332
96,Basketball_men,9,"How many players who played for the Los Angeles Lakers in 1970 also received the 'All-NBA First Team' award that same year, and what are their last names?",West
97,Basketball_men,7,How many points on average did the players who were named to the All-NBA First Team and also played in the East conference all-star game earn in the same season?,1744.0
98,Basketball_men,6,"What is the full name of the player with the ID ""birdla01"" who played for the Boston team in 1983?",Larry Bird
99,Basketball_men,8,How many points on average do players score in the same season when they’re named to the All-Defensive First Team and actually play in at least one game?,2034.4
