city,province,country,river,lake,sea
Anju,North Korea,NOK,,,Yellow Sea
Mogadishu,Somalia,SP,,,Indian Ocean
Weihai,Shandong,TJ,,,Yellow Sea
Hakodate,Hokkaido,J,,,Sea of Japan
Louisville,Kentucky,USA,Ohio River,,
Murmansk,Murmanskaya oblast,R,,,Barents Sea
Kyzyl,Rep. of Tyva,R,Jenissej,,
Recife,Pernambuco,BR,,,Atlantic Ocean
Mikkeli,Mikkeli,SF,,Saimaa,
Aqtau,Mangghystau,KAZ,,Caspian Sea,
Catania,Sicilia,I,,,Mediterranean Sea
Ulsan,South Korea,ROK,,,Sea of Japan
Mamoutzou,Mayotte,MAYO,,,Indian Ocean
Ljubljana,Slovenia,SLO,Save,,
Dresden,Sachsen,D,Elbe,,
Monrovia,Liberia,LB,,,Atlantic Ocean
Sinuiju,North Korea,NOK,,,Yellow Sea
Honiara,Solomon Islands,SLB,,,Pacific Ocean
Boma,Bas Zaire,ZRE,Zaire,,
Juba,al Istiwaiyah,SUD,Bahr el-Djebel/Albert-Nil,,
Batam,Indonesia,RI,,,South China Sea
Orsk,Orenburgskaya oblast,R,Ural,,
An Najaf,An Najaf,IRQ,Euphrat,,
Qyzylorda,Qyzylorda,KAZ,Syrdarja,,
Palikir,Micronesia,FSM,,,Pacific Ocean
Hafnarfjoerdur,Iceland,IS,,,Atlantic Ocean
Bismarck,North Dakota,USA,Missouri,Lake Oahe,
Reynosa,Tamaulipas,MEX,Rio Grande,,
Patna,Bihar,IND,Ganges,,
El Paso,Texas,USA,Rio Grande,,
Simbirsk,Ulyanovskaya oblast,R,Volga,,
Bahia Blanca,Buenos Aires,RA,,,Atlantic Ocean
Formosa,Formosa,RA,Paraguay,,
Kaluga,Kaluzhskaya oblast,R,Oka,,
Cincinnati,Ohio,USA,Ohio River,,
Santa Cruz de Tenerife,Canary Islands,E,,,Atlantic Ocean
Chur,GR,CH,Rhein,,
Munich,Bayern,D,Isar,,
Alexandria,El Iskandariya,ET,,,Mediterranean Sea
Jamestown,Saint Helena,HELX,,,Atlantic Ocean
Charlottetown,Prince Edward Island,CDN,,,Atlantic Ocean
Boulogne Billancourt,Ile de France,F,Seine,,
Khorugh,Badakhshoni Kuni,TAD,Pjandsh,,
Brisbane,Queensland,AUS,,,Pacific Ocean
Pematang Siantar,Indonesia,RI,Asahan,,
Bengkulu,Indonesia,RI,,,Indian Ocean
Bengasi,Libya,LAR,,,Mediterranean Sea
St. Petersburg,Florida,USA,,,Gulf of Mexico
Paris,Ile de France,F,Seine,,
Kazan,Rep. of Tatarstan,R,Volga,,
Kingston,Norfolk Island,NORF,,,Pacific Ocean
Funafuti,Tuvalu,TUV,,,Pacific Ocean
Cherkasy,Cherkaska,UA,Dnepr,,
Uvira,Kivu,ZRE,,Lake Tanganjika,
Lahti,Haeme,SF,,Paeijaenne,
Tongling,Anhui,TJ,Jangtse,,
Bellinzona,TI,CH,Ticino,,
Male,Maldives,MV,,,Indian Ocean
Tokyo,Tokyo,J,,,Pacific Ocean
Baracaldo,Basque Country,E,,,Atlantic Ocean
Cardiff,Cardiff,GB,,,Irish Sea
London,Greater London,GB,Thames,,
Bratislava,Slovakia,SK,March,,
Vadsoe,Finnmark,N,,,Barents Sea
Algier,Algeria,DZ,,,Mediterranean Sea
Moroni,Comoros,COM,,,Indian Ocean
Saint Georges,Grenada,WG,,,Caribbean Sea
Oslo,Oslo,N,,,Skagerrak
Anju,North Korea,NOK,,,Yellow Sea
Yinchuan,Ningxia Huizu,TJ,Hwangho,,
Hyderabad,Pakistan,PK,Indus,,
Nizhniy Novgorod,Nizhegorodskaya oblast,R,Volga,,
Valladolid,Castile and Leon,E,Douro,,
Mus,Mus,TR,Murat,,
Kiev,Kyyivska,UA,Dnepr,,
Saint Johns,Antigua and Barbuda,AG,,,Caribbean Sea
Luoyang,Henan,TJ,Hwangho,,
Vila Nova de Gaia,Porto,P,Douro,,Atlantic Ocean
Lanzhou,Gansu,TJ,Hwangho,,
Samarra,Salah ad Din,IRQ,Tigris,,
Kavalla,Anatoliki Makedhonia kai Thraki,GR,,,Mediterranean Sea
La Coruna,Galicia,E,,,Atlantic Ocean
Toulon,Provence Cote dAzur,F,,,Mediterranean Sea
Korfu,Ionioi Nisoi,GR,,,Mediterranean Sea
Firenze,Toscana,I,Arno,,
Ulsan,South Korea,ROK,,,Sea of Japan
Madras,Tamil Nadu,IND,,,Gulf of Bengal
Toulouse,Midi Pyrenees,F,Garonne,,
Reynosa,Tamaulipas,MEX,Rio Grande,,
Valparaiso,Chile,RCH,,,Pacific Ocean
Pucallpa,Ucayali,PE,Amazonas,,
Reggio di Calabria,Calabria,I,,,Mediterranean Sea
Huangshi,Hubei,TJ,Jangtse,,
Liege,Liege,B,Maas,,
Iraklion,Kriti,GR,,,Mediterranean Sea
Bridgeport,Connecticut,USA,,,Atlantic Ocean
Comodoro Rivadavia,Chubut,RA,,,Atlantic Ocean
Belgrade,Serbia,SRB,Donau,,
Karachi,Pakistan,PK,,,Arabian Sea
Torre del Greco,Campania,I,,,Mediterranean Sea
