sea,country,province
Caribbean Sea,MEX,Quintana Roo
Atlantic Ocean,C,Ciego de Avila
Mediterranean Sea,I,Liguria
The Channel,GB,Hampshire
Pacific Ocean,CR,Guanacaste
Mediterranean Sea,ET,Sharqiya
Pacific Ocean,CDN,Yukon Territory
Atlantic Ocean,SVAX,Svalbard
Atlantic Ocean,C,Guantanamo
Caribbean Sea,BVIR,British Virgin Islands
Mediterranean Sea,ET,Kafr el Sheikh
Caribbean Sea,YV,Nueva Esparta
Atlantic Ocean,BR,Santa Catarina
Gulf of Bengal,BD,Bangladesh
Atlantic Ocean,RT,Togo
North Sea,N,Sogn og Fjordane
Atlantic Ocean,P,Algarve
North Sea,GB,Orkneys
Atlantic Ocean,P,Azores
Mediterranean Sea,F,Corse
Mediterranean Sea,HR,Croatia
Black Sea,RO,Constanta
Atlantic Ocean,IRL,Ireland
South China Sea,TJ,Guangxi Zhuangzu
Atlantic Ocean,BR,Espirito Santo
Caribbean Sea,GUAD,Guadeloupe
Pacific Ocean,J,Okinawa
The Channel,GB,Devon
Atlantic Ocean,HELX,Saint Helena
