island,country,province
Ikaria,GR,Voreion Aiyaion
Anguilla,AXA,Anguilla
Arran,GB,Strathclyde
Borneo,MAL,Sarawak
Lewis and Harris,GB,Outer Hebrides
Madagaskar,RM,Toamasina
Teneriffa,E,Canary Islands
Porto Santo,P,Madeira
Aruba,ARU,Aruba
Formentera,E,Balearic Islands
Mayotte,MAYO,Mayotte
Great Britain,GB,North Yorkshire
Grenada,WG,Grenada
Honshu,J,Nara
Leyte,RP,Philippines
Barra,GB,Outer Hebrides
Great Britain,GB,Cleveland
Mindanao,RP,Philippines
Sulawesi,RI,Indonesia
Guadalcanal,SLB,Solomon Islands
Majuro,MH,Marshall Islands
Santa Catalina Island,USA,California
Mauritius,MS,Mauritius
Great Britain,GB,Cumbria
Great Britain,GB,Blaenau Gwent
Great Britain,GB,West Sussex
St. Martin,NA,Netherlands Antilles
Samos,GR,Voreion Aiyaion
Great Britain,GB,Oxfordshire
Filicudi,I,Calabria
Great Britain,GB,Dorset
Pellworm,D,Schleswig Holstein
Usedom,PL,Szczecinskie
Great Britain,GB,Devon
Palawan,RP,Philippines
Rene Levasseur Island,CDN,Ontario
Great Britain,GB,Fife
Jura,GB,Strathclyde
Te Ika-a-Maui (North Island),NZ,New Zealand
Baltrum,D,Niedersachsen
Guam,GUAM,Guam
Bangka,RI,Indonesia
Anglesey,GB,Anglesey
Ibiza,E,Balearic Islands
Cuba,C,Santiago de Cuba
Timor,TL,Timor-Leste
Cebu,RP,Philippines
Borneo,BRU,Brunei
Baffin Island,CDN,Northwest Territories
Honshu,J,Hiroshima
Fuenen,DK,Denmark
Oeland,S,Kalmar
Langeoog,D,Niedersachsen
Cuba,C,Villa Clara
Honshu,J,Ibaraki
Sylt,D,Schleswig Holstein
Cuba,C,Granma
Santa Cruz Island,USA,California
Kyushu,J,Fukuoka
Kyushu,J,Saga
Greenland,GROX,Greenland
Great Britain,GB,Powys
Oahu,USA,Hawaii
Honshu,J,Tochigi
Honshu,J,Aomori
Banks Island,CDN,Northwest Territories
Pemba,EAT,Mjini Magharibi
Ponape,FSM,Micronesia
Great Britain,GB,West Midlands
Honshu,J,Mie
Vanua Levu,FJI,Fiji
Amrum,D,Schleswig Holstein
Stromboli,I,Calabria
Vlieland,NL,Friesland
Gotland,S,Gotland
North Caicos,TUCA,Turks and Caicos Islands
Reunion,REUN,Reunion
Great Britain,GB,Lothian
Texel,NL,Noord Holland
Timor,RI,Indonesia
Streymoy,FARX,Faroe Islands
Gheschm,IR,Hormozgan
Ascension,HELX,Saint Helena
Bioko,GQ,Equatorial Guinea
Honshu,J,Iwate
Aust-Vagoey,N,Nordland
Islay,GB,Strathclyde
Cuba,C,La Habana
Mallorca,E,Balearic Islands
Little Cayman,CAYM,Cayman Islands
Great Britain,GB,Staffordshire
Sao Miguel,P,Azores
Pitcairn,PITC,Pitcairn Islands
Schiermonnikoog,NL,Friesland
Madagaskar,RM,Fianarantsoa
Viti Levu,FJI,Fiji
Bougainville,PNG,Papua New Guinea
Niue,NIUE,Niue
Rhum,GB,Highland
Great Britain,GB,Cornwall
Guernsey,GBG,Guernsey
Ameland,NL,Friesland
Great Britain,GB,Greater Manchester
Cangaroo Island,AUS,South Australia
Shikoku,J,Kagawa
Mindoro,RP,Philippines
Honshu,J,Niigata
Samar,RP,Philippines
Great Britain,GB,Dumfries and Galloway
Menorca,E,Balearic Islands
Shetland Mainland,GB,Shetland
Honshu,J,Shimane
Gozo,M,Malta
Sokotra,YE,Yemen
South Ronaldsay,GB,Orkneys
Anjouan,COM,Comoros
Dominica,WD,Dominica
Chios,GR,Voreion Aiyaion
Great Britain,GB,Hereford and Worcester
Grande Terre,NCA,New Caledonia
Honshu,J,Miyagi
Barbuda,AG,Antigua and Barbuda
Santiago,CV,Cape Verde
Borneo,MAL,Sabah
Antigua,AG,Antigua and Barbuda
Manitoulin,CDN,Ontario
Aland,SF,Aland
