mountain,country,province
Pik Chan-Tengri,KGZ,Kyrgyzstan
Mt Whitney,USA,California
Cotopaxi,EC,Ecuador
Aconcagua,RA,Mendoza
Pik Moskva,TAD,Badakhshoni Kuni
Jabal Katrina,ET,Sina al Janubiyah
Pico Cristobal Colon,CO,Magdalena
Krakatau,RI,Indonesia
Blue Mountain Peak,JA,Jamaica
Silisili,WS,Samoa
Changbai Shan,TJ,Jilin
Jezerce,AL,Albania
Pinatubo,RP,Philippines
Pik Revoluzija,TAD,Badakhshoni Kuni
Meru,EAT,Arusha
Kasbek,R,Rep. of North Ossetiya
Roque de los Muchachos,E,Canary Islands
Pico Ruivo,P,Madeira
Mt Bona,USA,Alaska
Monte Cinto,F,Corse
Pico de Agulhas Negras,BR,Rio de Janeiro
Tsaratanana,RM,Antsiranana
Guadalupe Peak,USA,Texas
Manaslu,NEP,Nepal
Citlaltepetl (Pico de Orizaba),MEX,Veracruz
Sajama,BOL,Bolivia
Mt. Wilhelm,PNG,Papua New Guinea
Jabal Lubnan,RL,Lebanon
Moldoveanu,RO,Brasov
Haleakala,USA,Hawaii
Piton de la Fournaise,REUN,Reunion
Bjelucha,KAZ,Shyghys Qazaqstan
Mt Rainier,USA,Washington
Kangchendzonga,NEP,Nepal
Pico de Almanzor,E,Castile and Leon
Gunung Agung,RI,Indonesia
Mt Washington,USA,New Hampshire
Galdhoeppig,N,Oppland
Citlaltepetl (Pico de Orizaba),MEX,Puebla
Fujisan,J,Yamanashi
Puy De Dome,F,Auvergne
Schneekoppe,PL,Walbrzyskie
Hotaka-Dake,J,Gifu
Feldberg,D,Baden Wurttemberg
Lhotse,TJ,Tibet
Zugspitze,D,Bayern
Mt Fairweather,USA,Alaska
Tarrekaise,S,Norrbotten
Ruwenzori,EAU,Uganda
Pico,P,Azores
Mt Columbia,CDN,British Columbia
Iztaccihuatl,MEX,Puebla
Haltiatunturi,SF,Lappia
Mt Logan,CDN,Yukon Territory
Hochgolling,A,Styria
Merapi,RI,Indonesia
Mt. Kosciuszko,AUS,New South Wales
Jostedalsbre,N,Sogn og Fjordane
Gasherbrum II,PK,Pakistan
Torre de Cerredo,E,Asturias
Uluru,AUS,Northern Territory
Sulitjelma,N,Nordland
Djebel Aures,MA,Morocco
Fujisan,J,Shizuoka
Crap_Sogn_Gion,CH,GR
Ben Nevis,GB,Highland
Monte Rosa,I,Valle dAosta
Mauna Loa,USA,Hawaii
Olympos,CY,Cyprus
Boundary Peak,USA,California
Mt. Bogong,AUS,Victoria
Mauna Kea,USA,Hawaii
Pico Rocarre,PE,Ancash
Soufriere,WV,Saint Vincent and the Grenadines
Matterhorn,CH,VS
Mont Blanc,I,Valle dAosta
Pelee,MART,Martinique
Mt Hood,USA,Oregon
Mt Waddington,CDN,British Columbia
Broad Peak,TJ,Xinjiang Uygur
Ojos del Salado,RCH,Chile
Oraefajokull,IS,Iceland
Mt. Giluwe,PNG,Papua New Guinea
Ararat,TR,Agri
Broad Peak,PK,Pakistan
Pik Kommunizma,TAD,Badakhshoni Kuni
Mt St.Elias,USA,Alaska
Gran Sasso,I,Abruzzo
Morne Diablotins,WD,Dominica
Popomanaseu,SLB,Solomon Islands
Bjelucha,R,Rep. of Altay
Pik Pobeda,KGZ,Kyrgyzstan
Chimborazo,EC,Ecuador
Grossglockner,A,Carinthia
La Soufriere,GUAD,Guadeloupe
Harney Peak,USA,South Dakota
Pikes Peak,USA,Colorado
GerlachovskyStit,SK,Slovakia
Piz Bernina,I,Lombardia
Mt Blackburn,USA,Alaska
Fako,CAM,Sudoueste
Pico Turquino,C,Santiago de Cuba
Zugspitze,A,Tyrol
GranParadiso,I,Valle dAosta
Puncak Jaya,RI,Indonesia
Leuser,RI,Indonesia
Andringitra,RM,Fianarantsoa
Popocatepetl,MEX,Puebla
