city,province,country,river,lake,sea
Гонолулу,Гавайи,США,,,Тихоокеанский океан
Виктория,Британская Колумбия,КН,,,Тихоокеанский океан
Вонсан,Северная Корея,Норк,,,Японское море
Циндао,Шаньдун,ТДж,,,Желтое море
Чиба,Чиба,J,,,Тихоокеанский океан
Пусан,Южная Корея,ОК,,,Японское море
Серпухов,Московская область,Р,Хорошо.,,
Тольятти,Самарская область,Р,Волга,,
Хуалиен,Тайвань,КР,,,Тихоокеанский океан
Мьиткина,Качин,МЬЯ,Иравадди,,
Мессина,Сицилия,I,,,Средиземное море
Дублин,Италия,IRL,,,Ирландское море
Дакка,Бангладеш,БД,Габариты,,
Эль-Гиза,Эль-Гиза,ЕТ,Нил,,
Семаранг,Индонезия,РИ,,,Сундское море
&lt; &lt; Батон красный &gt; &gt;,Луизиана,США,Миссисипи,,
Симберск,Ульяновская область,Р,Волга,,
Конкордия,Энтр-Риос,РЭ,Уругвай,,
Пул,Дорсет,ГБ,,,Канал
Сьюдад Хуарес,Чиуауа,МЕКС,&lt; &lt; Рио Гранде &gt; &gt;,,
Анкона,Марш,I,,,Средиземное море
Пиреус,Аттики,ГР,,,Средиземное море
Альбукерке,Новая Мексика,США,&lt; &lt; Рио Гранде &gt; &gt;,,
Бремерхейвен,Бремен,D,Уэсер,,Северное море
Баия Бланка,Буэнос-Айрес,РЭ,,,Атлантический океан
Виллемстад,Нидерландские Антильские острова,,,,Карибское море
Наджаф,Наджаф,ИРК,Евфрат,,
Уджун Пандан,Индонезия,РИ,,,Сундское море
Цюрих,ZH,CH,Лимат,Цюрихсэ,
Чита,Читинская область,Р,Шилка,,
Харносанд,Вастерноррленд,И,,,Балтийское море
Вакаяма,Вакаяма,J,,,Тихоокеанский океан
Гранд-Тёрк,Острова Тёркс и Кайкос,ТУКА,,,Атлантический океан
Осло,Осло,Н,,,Скагеррак
Мосс,Остров,Н,,,Скагеррак
Дакар,Дакар,SN,,,Атлантический океан
Братислава,Словакия,SK,Донау,,
Шарджа,Эш Шарика,ОАЭ,,,Персидский залив
Солотхёрн,Вот так.,CH,Aare,,
Картахена,Мурсия,E,,,Средиземное море
Виктория,Сейшельские Острова,SY,,,Индийский океан
Севилья,Андалусия,E,Гвадалкивир,,
Аннаба,Алжир,DZ,,,Средиземное море
Онитша,Нигерия,ВАН,Нигер,,
Кена,Кена,ЕТ,Нил,,
Лион,Рон-Алпес,F,Сон,,
Гданьск,Гданьское,PL,Вейксель,,Балтийское море
Находка,Приморский крей,Р,,,Японское море
Нумеа,Новая Каледония,НКА,,,Тихоокеанский океан
Ульм,Баден Вуртемберг,D,Донау,,
Вроклоу,Вроклавский,PL,Одер,,
Регенсбург,Байерн,D,Донау,,
Острава,Североморавский,CZ,Одер,,
Довер,Кент,ГБ,,,Канал
Джибути,Джибути,ДСО,,,Аденский залив
Посады,Миссионес,РЭ,Парана,,
Эль-Ариш,Сина пепел Шамалия,ЕТ,,,Средиземное море
Саутгемптон,Гэмпшир,ГБ,,,Канал
Санкт-Петербург,Флорида,США,,,Мексиканский залив
Свольвер,Нордленд,Н,,,Норвежское море
Мосул,Найнава,ИРК,Тигр,,
Сарагоза,Арагон,E,Эбро,,
Запорожская,Запориска,UA,Днепр,,
Монровия,Либерия,ЛБ,,,Атлантический океан
Монтевидео,Уругвай,Ру,,,Атлантический океан
Юйян,Хунан,ТДж,Янгце,,
Волгоград,Волгоградская область,Р,Волга,,
Бурнмут,Дорсет,ГБ,,,Канал
Долина,Ангилья,AXA,,,Атлантический океан
Мацуяма,Эхим,J,,,Тихоокеанский океан
Сурабая,Индонезия,РИ,,,Сундское море
Гренобль,Рон-Алпес,F,Изир,,
Синуиджу,Северная Корея,Норк,,,Желтое море
Эдмонтон,Альберта,КН,Саскачеванская река,,
Торонто,Онтарио,КН,,Озеро Онтарио,
Пиза,Тоскана,I,Арно,,
Норфолк,Вирджиния,США,,,Атлантический океан
Калуга,Калужская область,Р,Хорошо.,,
Джеймстаун,Остров Св. Елены,HELX,,,Атлантический океан
Бадалона,Каталония,E,,,Средиземное море
Нойс,Нордрхейн Вестфален,D,Рейн,,
Дили,Тимор-Лешти,ТЛ,,,Сундское море
Кременчук,Полтавска,UA,Днепр,,
Олбани,Западная Австралия,AUS,,,Индийский океан
Астрахан,Астраханская область,Р,Волга,,
Братск,Иркутская область,Р,Ангара,,
Нантонг,Цзянсу,ТДж,Янгце,,
Аарау,АГ,CH,Aare,,
Фукуока,Фукуока,J,,,Японское море
Курган,Курганская область,Р,Тобол,,
Кардифф,Кардифф,ГБ,,,Ирландское море
Банжармасин,Индонезия,РИ,,,Сундское море
Картахена,Мурсия,E,,,Средиземное море
Порт Святого Петра,Гернси,ГБГ,,,Канал
Маленький камень,Арканзас,США,Арканзас,,
Гейлбронн,Баден Вуртемберг,D,Некар,,
Каохсюн,Тайвань,КР,,,Южно-Китайское море
Аракаджу,Серджип,КР,,,Атлантический океан
Рабат,Марокко,МЭТ,,,Атлантический океан
Ошава,Онтарио,КН,,Озеро Онтарио,
Фестиваль молотка,Финнмарк,Н,,,Море Баренцев
Луянг,Хэнан,ТДж,Хванхо,,
Мата-Уту,Уоллис и Футуна,ВАФА,,,Тихоокеанский океан
Хельсинки,Уусимаа,SF,,,Балтийское море
Рейноза,Тамаулипас,МЕКС,&lt; &lt; Рио Гранде &gt; &gt;,,
Ле Хавр,Достоинство Нормандии,F,Сена,,Канал
Бонн,Нордрхейн Вестфален,D,Рейн,,
Пуэрто-Каррено,Вичада,CO,Ориноко,,
Хамхунг Хунгнам,Северная Корея,Норк,,,Японское море
Авгсбург,Байерн,D,Лех,,
Болзано,Трентино Альто Адиге,I,Etsch,,
Мангейм,Баден Вуртемберг,D,Рейн,,
Портленд,Орегон,США,Река Колумбия,,
Висбаден,Гессен,D,Главное,,
Афины,Аттики,ГР,,,Средиземное море
Регенсбург,Байерн,D,Донау,,
Бриджтаун,Барбадос,УРБ,,,Атлантический океан
Канзас-Сити,Миссури,США,Миссури,,
Северный Хартум,Аль-Хартум,СУД,Нил,,
Безвозмездно,Индонезия,РИ,,,Сундское море
Баку,Азербайджан,AZ,,Каспийское море,
Миядзаки,Миядзаки,J,,,Тихоокеанский океан
Стэнли,Фолклендские острова,ФАЛК,,,Атлантический океан
Ла-Плата,Буэнос-Айрес,РЭ,,,Атлантический океан
Тетуан,Марокко,МЭТ,,,Средиземное море
Алгье,Алжир,DZ,,,Средиземное море
Готеборг,Готеборг ох Бохус,И,Гётаэльв,,Каттегат
Генуя,Лигурия,I,,,Средиземное море
Тонгирование,Анхуи,ТДж,Янгце,,
Лондон,Большой Лондон,ГБ,Темба,,
Севилья,Андалусия,E,Гвадалкивир,,
Серпухов,Московская область,Р,Хорошо.,,
Мариго,Сент-Мартин,СМАРТ,,,Карибское море
Далян,Ляонирование,ТДж,,,Желтое море
Банги,Центральноафриканская Республика,РСС,Убанги,,
Верона,Венето,I,Etsch,,
Нэнси,Лоррейн,F,Мозель,,
Хуалиен,Тайвань,КР,,,Тихоокеанский океан
Асунсьон,Парагвай,PY,Парагвай,,
Брисбен,Квинсленд,AUS,,,Тихоокеанский океан
Сент-Луис,Миссури,США,Миссури,,
Хэджу,Северная Корея,Норк,,,Желтое море
Пори,Турку-Пори,SF,Кокемаенейоки,,
Омдурман,Аль-Хартум,СУД,Нил,,
Тромсоэ,Тромы,Н,,,Норвежское море
Котка,Кими,SF,Кимижоки,,Балтийское море
Данди,Тэйсайд,ГБ,,,Северное море
Мосул,Найнава,ИРК,Тигр,,
Санья,Хайнан,ТДж,,,Южно-Китайское море
Чжэньцзян,Цзянсу,ТДж,Янгце,,
Гамильтон,Бермудские острова,БЕРМ,,,Атлантический океан
Ниджмеген,Гелдерленд,Нл,Рейн,,
Пуэрто-Лемпира,Грациалы,HCA,,,Карибское море
Пекалонган,Индонезия,РИ,,,Сундское море
Баку,Азербайджан,AZ,,Каспийское море,
Казан,Республика Татарстан,Р,Волга,,
Эль-Тур,Сина аль-Джанубия,ЕТ,,,Красное море
Тбилиси,Грузия,ГЭ,Кура,,
Гамбург,Гамбург,D,Эльба,,
Лос-Анджелес,Калифорния,США,,,Тихоокеанский океан
Йонкерс,Нью-Йорк,США,Гудзон Ривер,,
Наполи,Кампания,I,,,Средиземное море
Кливленд,Огайо,США,,Озеро Эри,
Манама,Бахрейн,БРИН,,,Персидский залив
&lt; &lt; Ласпезия &gt; &gt;,Лигурия,I,,,Средиземное море
Сторнуэя,Внешние гебриды,ГБ,,,Атлантический океан
Пьер,Южная Дакота,США,Миссури,Озеро Оахе,
Пиза,Тоскана,I,Арно,,
Дар-эс-Салам,Дарессалам,ЕАТ,,,Индийский океан
Тольятти,Самарская область,Р,Волга,,
Порто,Порто,Р,Доуро,,Атлантический океан
Кита Кюсю,Фукуока,J,,,Японское море
Кананга,Касаи,ЗРЕ,Лулуа,,
Чикаго,Иллинойс,США,,Озеро Мичиган,
Куско,Куско,ПЭ,Амазонки,,
Самарра,Salah ad Din,ИРК,Тигр,,
Наа,Окинава,J,,,Восточно-Китайское море
Сент-Пьер,Сент-Пьер и Микелон,СПМИ,,,Атлантический океан
Мохпо,Южная Корея,ОК,,,Желтое море
Нижний Новгород,Нижегородская область,Р,Волга,,
Шаши,Хабэй,ТДж,Янгце,,
Гонолулу,Гавайи,США,,,Тихоокеанский океан
Сианнинг,Хабэй,ТДж,Янгце,,
Мангейм,Баден Вуртемберг,D,Рейн,,
Салоники,Кедрики Македония,ГР,,,Средиземное море
Йичанг,Хабэй,ТДж,Янгце,,
Кальяри,Сарденья,I,,,Средиземное море
Портсмут,Гэмпшир,ГБ,,,Канал
Нукуалофа,Тонга,К,,,Тихоокеанский океан
Хобарт,Тасмания,AUS,,,Тихоокеанский океан
Касабланка,Марокко,МЭТ,,,Атлантический океан
Мюнхен,Байерн,D,Исар,,
Окаяма,Окаяма,J,,,Тихоокеанский океан
Шолнок,Шолнок,Н,Тейсс,,
Черкаси,Шеркаска,UA,Днепр,,
Гома,Киву,ЗРЕ,,Озеро Киву,
Агадир,Марокко,МЭТ,,,Атлантический океан
Берген,Хордаланд,Н,,,Северное море
Маастрихт,Лимбург,Нл,Маас,,
Фестиваль молотка,Финнмарк,Н,,,Море Баренцев
Хэджу,Северная Корея,Норк,,,Желтое море
Канберра,Австралийская столичная территория,AUS,Река Муррумбиджи,Озеро Берли Гриффин,
Ноксвилль,Теннесси,США,Теннесси,,
Либревиль,Габон,G,,,Атлантический океан
Наталь,&lt; &lt; Рио Гранде до Норте &gt; &gt;,КР,,,Атлантический океан
Сьюдад Боливар,Боливар,YV,Ориноко,,
Нантонг,Цзянсу,ТДж,Янгце,,
Ванерсборг,Альвсборг,И,Гётаэльв,Валенерн,
Красноярск,Красноярский крей,Р,Джениссдж,,
Влэр,Австралия,AL,,,Средиземное море
Шишу,Хабэй,ТДж,Янгце,,
Лёрвик,Шетланд,ГБ,,,Северное море
Нуук,Гренландия,ГРОКС,,,Атлантический океан
Белфаст,Великобритании и Северной Ирландии,ГБ,,,Ирландское море
Независимость,Миссури,США,Миссури,,
Валенсия,Валенсия,E,,,Средиземное море
Мальмо,Мальмохус,И,,,Балтийское море
Авгсбург,Байерн,D,Лех,,
Генуя,Лигурия,I,,,Средиземное море
Провидение,Род-Айленд,США,,,Атлантический океан
Данди,Тэйсайд,ГБ,,,Северное море
Кампех,Кампех,МЕКС,,,Мексиканский залив
Архангелск,Архангельская область,Р,Северная Двина,,Море Баренцев
Усть-Илимск,Иркутская область,Р,Ангара,,
Сан-Луис,Маранхао,КР,,,Атлантический океан
Мангейм,Баден Вуртемберг,D,Некар,,
Мейнз,Rheinland Pfalz,D,Рейн,,
Йосу,Южная Корея,ОК,,,Восточно-Китайское море
Сопротивление,Чако,РЭ,Парана,,
Тетуан,Марокко,МЭТ,,,Средиземное море
Дакка,Бангладеш,БД,Габариты,,
Росток,Мекленбург Ворпоммерн,D,,,Балтийское море
Иньчуань,Нинксиа Хуидзу,ТДж,Хванхо,,
Мус,Мус,ТR,Мурат,,
Абу-Даби,Абу-Даби,ОАЭ,,,Персидский залив
Кобе,Хиого,J,,,Тихоокеанский океан
Торонто,Онтарио,КН,,Озеро Онтарио,
Верона,Венето,I,Etsch,,
Монреаль,Квебек,КН,Река Святого Лоуренса,,
Барранкабермеджа,Сантандер-дель-Сур,CO,Рио Магдалена,,
Корор,Палау,ПАЛ,,,Тихоокеанский океан
Джеймстаун,Остров Св. Елены,HELX,,,Атлантический океан
Гамбург,Гамбург,D,Эльба,,
Уху,Анхуи,ТДж,Янгце,,
Малакал,Aali a Nil,СУД,Белый Нил,,
Хуалиен,Тайвань,КР,,,Тихоокеанский океан
Как Самава,Аль-Мутанна,ИРК,Евфрат,,
Миядзаки,Миядзаки,J,,,Тихоокеанский океан
Сигнал,Сегедный (муниципальный),Н,Тейсс,,
Виана ду Кастело,Виана ду Кастело,Р,,,Атлантический океан
Гейдельберг,Баден Вуртемберг,D,Некар,,
Осло,Осло,Н,,,Скагеррак
Толедо,Огайо,США,,Озеро Эри,
