island,sea,lake,river
Лузон,Тихоокеанский океан,,
Остеринсел,Тихоокеанский океан,,
Остров Мелвиль,Индийский океан,,
Гренада,Атлантический океан,,
Сайпан,Тихоокеанский океан,,
Монтсеррат,Карибское море,,
Остров Рене Левассеур,,Озеро Маникуаган,
Менорка,Средиземное море,,
Лансароте,Атлантический океан,,
Харк,Персидский залив,,
Фальстер,Балтийское море,,
Барра,Атлантический океан,,
Провиденсьялес,Атлантический океан,,
Бали,Индийский океан,,
Сент-Винсент,Карибское море,,
Вангерож,Северное море,,
Остров Виктория,Северный Ледовитый океан,,
Ангилья,Атлантический океан,,
Куба,Мексиканский залив,,
Шикоку,Тихоокеанский океан,,
Шетландский материк,Северное море,,
Уполу,Тихоокеанский океан,,
Батам,Южно-Китайское море,,
Рота,Тихоокеанский океан,,
Хоккайдо,Японское море,,
Тенерифа,Атлантический океан,,
Фейлиал,Атлантический океан,,
Италия,Норвежское море,,
Антигуа,Карибское море,,
Эмбон,Сундское море,,
Площадь,Балтийское море,,
Льюис и Харрис,Атлантический океан,,
Эфат,Тихоокеанский океан,,
Сент-Люсия,Атлантический океан,,
