country,organization,type
МАКХ,ЮНЕСКО,ассоциированный член
BS,МФК,Член
SF,МАГАТЭ,Член
ВАГ,ФАО,Член
ДК,МОТ,Член
MS,ОАЕ,Член
E,АзБР,нерегиональный член
КАМ,Интерпол,Член
ЧР,ЭКЛАК,Член
ПА,ИМО,Член
CY,ОБСЕ,Член
К,АзБР,региональный член
США,Г-10,Член
HR,МАГАТЭ,Член
IRL,МООНРЗС,Член
Клянусь!,МБРР,Член
ЛТ,МАГАТЭ,Член
АГ,ИСО,Член группы подписчиков
ЕТ,ИБР,Член
BF,МСЭ,Член
КБК,ЮНЕСКО,Член
Нл,ОЭСР,Член
СП,ОИК,Член
RG,ФАО,Член
ДК,ОБСЕ,Член
ГБ,МУС,Член
ОАЭ,МОТ,Член
ЕТ,WTRO,Член
CH,МВФ,Член
BF,WFTU,Член
РБ,АКТ,Член
РСС,ЮНЕСКО,Член
РП,WFTU,Член
МНП,МАР,Часть II
BF,ОИК,Член
Норк,ВМО,Член
ДЖА,C,Член
ПА,ЮНИДО,Член
ФСО,Группа 77,Член
SF,ВСООНЛ,Член
РН,Интелсат,Член
С.А.,КХЦ,Член
ТЗА,МБРР,Член
TN,МАР,Часть II
ДЖА,МФСР,Категория III
CZ,WTRO,Член
MD,МБРР,Член
ГБ,МКСП,Член
ОАЭ,КХЦ,Член
Кл,ВОТ,Член
МВ,Интелсат,Неподписавшийся пользователь
D,ВПС,Член
КН,ЭКЛАК,Член
СУД,ВОТ,Член
КАМ,АКТ,Член
ДК,ВОЗ,Член
KAZ,МАР,Часть II
ЕТ,ИКАО,Член
CZ,МКСП,Член
Парень,МАР,Часть II
B,ЕС,Член
Р,СООНО,Член
ПНГ,Интелсат,Член
ЕТ,МОМ,Член
IRL,ЕИБ,Член
РЧ,ИМО,Член
ОАЭ,МАР,Часть I
AXA,ВПС,Член
ОПП,МУС,Член
IRL,МОТ,Член
ZW,АКТ,Член
Ил,ВОИС,Член
G,КХЦ,Член
UA,МНООНТ,Член
ARM,МВФ,Член
ОК,ЮНЕСКО,Член
ARM,ИКАО,Член
ЛБ,МОТ,Член
БГ,Интелсат,Неподписавшийся пользователь
IRL,МФОКК,Член
БГ,МОК,Национальный олимпийский комитет
БОЛ,МСЭ,Член
Норк,ВОИС,Член
HR,ВМО,Член
B,КХЦ,Член
AZ,МВФ,Член
BZ,МАБР,Член
CO,WTRO,Член
ПНГ,ФАО,Член
J,WFTU,Член
L,ВМО,Член
TCH,Интерпол,Член
RG,ООН,Член
ПНГ,C,Член
Q,Группа 77,Член
COM,Группа 77,Член
VN,ООН,Член
RG,ВОЗ,Член
Р,МООНГ,Член
ОК,МАГАТЭ,Член
A,МСЭ,Член
ЕТ,ФАО,Член
И,БИС,Член
ТА,ЮНЕСКО,Член
MD,ФАО,Член
ТДж,МФСР,Категория III
MS,МАР,Часть II
ДЖА,МКСП,Член
YV,ВМО,Член
ГР,ЮНИДО,Член
GQ,МАР,Часть II
ГНБ,МФСР,Категория III
B,МОК,Национальный олимпийский комитет
SLO,МФК,Член
CO,ИМО,Член
К,ВОТ,Член
ПА,Инмарсат,Член
CI,Удовлетворение,Член
МСП,ФАО,Член
MD,ВОТ,Член
BF,FZ,Член
БИ,ВОТ,Член
КН,ОЭСР,Член
МПГ,МВФ,Член
Парень,ФАО,Член
CO,ВПС,Член
ТЗА,МАР,Часть II
РП,ООН,Член
RO,АККТ,Член
Z,ВОТ,Член
Кл,МФСР,Категория III
L,ЮНЕСКО,Член
F,МКПТ,Национальное общество
ВАФА,КСП,Член
ЧР,УООН,Член
СУД,ЮНИДО,Член
ДА,AL,Член
СИН,МООНГ,Член
ПК,МАГАТЭ,Член
A,МООНГ,Член
SLB,МАР,Часть II
ЛТ,СЕ,Член
Н,ЕБРР,Член
B,ОНВУП,Член
ES,ДН,наблюдатель
WL,Интерпол,Член
КАМ,Г-19,Член
ДК,МФОКК,Член
ДА,ВОИС,Член
RG,ЭКА,Член
ZW,Группа 15,Член
МПК,ИКАО,Член
НЬЮ,ВМО,Член
MK,Интелсат,Неподписавшийся пользователь
RO,МОК,Национальный олимпийский комитет
ТЗА,ИСО,Член
ВАН,МСЭ,Член
SK,ОБСЕ,Член
SLO,МАБР,Член
Q,АФЭСР,Член
PL,ЮНИДО,Член
И,СООНО,Член
CI,ВОТ,Член
BF,МКСП,Член
РММ,ВКЛ,Член
AZ,ООН,Член
ДА,WTRO,заявитель
ХОНКС,WFTU,Член
БИ,КХЦ,Член
М,МОМ,наблюдатель
ТТ,Группа 77,Член
ES,МБРР,Член
США,АзБР,нерегиональный член
ОПП,ЦЕИ,ассоциированный член
МПГ,ВОИС,Член
МПГ,АзБР,региональный член
E,МАР,Часть II
ARU,ВКЛ,Член
Р,ZC,Член
ТЗА,ВОИС,Член
МЬЯ,ВОЗ,Член
WS,МВФ,Член
AUS,ЭН,Член
D,Группа восьми,Член
РП,МБРР,Член
И,МФСР,Категория I
ТR,МФСР,Категория III
БРИН,ВПС,Член
ГНБ,ИМО,Член
РТ,ЭКА,Член
L,СЕ,Член
М,ППТС,Член
IRL,Интелсат,Член
МВт,WFTU,Член
РТ,ВОЗ,Член
VN,ВОТ,Член
WV,ИКАО,Член
COM,МФОКК,ассоциированный член
IRL,МВФ,Член
SK,ЦЕРН,Член
ТТ,ИМО,Член
СИР,ИКАО,Член
КАМ,ООН,Член
ОК,ИКАО,Член
G,ЮНИДО,Член
БГ,ООН,Член
ЕС,ИКАО,Член
КР,WTRO,заявитель
ЛС,МОК,Национальный олимпийский комитет
SF,ИМО,Член
ОАЭ,ИКАО,Член
ГНБ,ООН,Член
ЕАС,КХЦ,Член
KGZ,ППТС,Член
VN,ФАО,Член
ДК,ЕС,Член
CZ,МСЭ,Член
М,Инмарсат,Член
Z,МОМ,Член
C,ВОЗ,Член
Ру,ГВНООНИП,Член
ЛВ,WTRO,заявитель
SK,ЕЭК,Член
БУ,ДН,Член
СИН,WTRO,Член
СУД,AL,Член
США,РКРТ,Член
F,МОТ,Член
ES,Интелсат,Член
ТМ,МОТ,Член
ЧП,МФСР,Категория III
ТR,ОЭС,Член
WV,МОК,Национальный олимпийский комитет
ИУ,НИБ,Член
МЕКС,ЮНИТАР,Член
Нл,ГЯП,Член
Бен,Группа 77,Член
РН,МФК,Член
УР,Интелсат,Член
G,АфБР,региональный член
РТ,Группа 77,Член
БРИН,МБРР,Член
БОЛ,ВОТ,Член
ЗРЕ,ИМО,Член
UA,АНК,Член
DZ,УВКБ,Член
КАМ,ДН,Член
Н,ЕС,Член
Р,ЮНИТАР,Член
ТR,ФАО,Член
РЭ,Г-19,Член
TN,Интелсат,Член
ХОНКС,ВМО,Член
SLB,WFTU,Член
ЭТО,ВМО,Член
РЧ,ВОТ,Член
НИК,ЛАИА,наблюдатель
РГ,Интерпол,Член
SGP,ИМО,Член
ФСО,МФК,Член
МПК,Группа 77,Член
ZW,КМООНА III,Член
Кл,ВПС,Член
SF,WFTU,Член
MD,МОТ,Член
GQ,FZ,Член
G,МФОКК,ассоциированный член
И,МКПТ,Национальное общество
BZ,CDB,региональный член
МГ,Интерпол,Член
ЗРЕ,АфБР,региональный член
