country,independence,dependent,government
SVAX,,Н,"Норвегией, управляемой министерством промышленности"
ДСО,1977-06-27,,Республика
МВ,1965-07-26,,Республика
,,Нл,часть нидерландского королевства
Юзеф,1991-08-31,,Республика
ФСО,1970-10-10,,Республика
АГ,1981-11-01,,парламентская демократия
ЕТ,1922-02-28,,Республика
SLB,1978-07-07,,парламентская демократия
ВРЕМЯ,,F,Министерство иностранных дел Франции
НМИС,,США,содружество в политическом союзе с США
ТЛ,2002-05-20,,парламентская демократия
МНТ,,ГБ,Британские заморские территории
РП,1946-07-04,,Республика
ЛТ,1991-09-06,,Республика
ГЭ,1991-04-09,,Республика
ПНГ,1975-09-16,,парламентская демократия
РВА,1962-07-01,,Республика
Норк,,,Коммунистическое государство
Мэйо,,F,территориальная коллективность Франции
ЧП,1993-05-27,,переходное правительство
ЭТО,,,Федеративная республика
МНП,2006-06-03,,парламентская демократия
ГНБ,1974-09-10,,Республика
ПР,,США,"содружество, связанное с США"
Ил,1948-05-14,,Республика
БРУ,1984-01-01,,конституционный султанат
ФГУ,,F,Министерство иностранных дел Франции
КАМ,1960-01-01,,унитарная республика
ТА,1238-01-01,,конституционная монархия
C,1902-05-20,,Коммунистическое государство
ARM,1918-05-28,,Республика
БиГ,1992-04-01,,Формирующаяся демократия
РГ,1974-02-07,,парламентская демократия
BZ,1981-09-21,,парламентская демократия
IR,1979-04-01,,Метрополитическая республика
RG,1958-10-02,,Республика
СМАРТ,,F,Зарубежная коллективность Франции
РЧ,1804-01-01,,Республика
MS,1968-03-12,,парламентская демократия
COCO,,AUS,территории Австралии
Z,1964-10-24,,Республика
СУА,1821-09-15,,Республика
Н,1905-10-26,,конституционная монархия
ГБ,1801-01-01,,конституционная монархия
УРБ,1966-11-30,,парламентская демократия
ТЗА,1957-08-31,,конституционная монархия
ПЭ,1821-07-28,,Республика
BS,1973-07-10,,Содружество
РСС,1960-08-13,,Республика
МГ,1986-10-21,,конституционное правительство в свободной ассоциации с США
ТТ,1962-08-31,,парламентская демократия
ЛС,1966-10-04,,изменение конституционной монархии
IRL,1921-12-06,,Республика
ЛАР,1951-12-24,,Теоретически Джамахирия
ПА,1903-11-03,,конституционная республика
И,,,конституционная монархия
Новой Зеландии,1907-09-26,,парламентская демократия
ХОНКС,,ТДж,и специальной административной области в Китае
TAD,1991-09-09,,Республика
РИ,1945-08-17,,Республика
JOR,1946-05-25,,конституционная монархия
С.А.,1932-09-23,,монархия
АНГ,1975-11-11,,Номинально переходное правительство - многопартийная демократия с сильной президентской системой
США,1776-07-04,,Федеративная республика
KGZ,1991-08-31,,Республика
AFG,1919-08-19,,переходное правительство
ЧР,1821-09-15,,Демократическая Республика
РММ,1960-09-22,,Республика
SF,1917-12-06,,Республика
WV,1979-10-27,,конституционная монархия
D,1871-01-18,,Федеративная республика
БИ,1962-07-01,,Республика
РМ,1960-06-26,,Республика
РЭ,1816-07-09,,Республика
КР,,,Многосторонний демократический режим
МЕКС,1810-09-16,,"Федеральная республика, действующая под централизованным правительством"
МЬЯ,1948-01-04,,военный режим
ФЛ,1719-01-23,,Наследственная конституционная монархия
ZW,1980-04-18,,парламентская демократия
НОРФ,,AUS,территории Австралии
КОК,,Новой Зеландии,самоуправляющееся парламентское правительство в свободной ассоциации с Новой Зеландией
К,1949-11-09,,"многопартийная либеральная демократия под конституционной монархией, созданной в сентябре 1993 года"
COM,1975-07-06,,независимая республика
СПМИ,,F,территориальная коллективность Франции
CY,1960-08-16,,Республика
J,,,конституционная монархия
WS,1962-01-01,,конституционная монархия вождя коренного населения
GBM,,ГБ,British Kone Industice (иждивенчество британской кроны)
CO,1810-07-20,,Республика
RCH,1810-09-18,,Республика
РШМ,0301-01-01,,Республика
AUS,1901-01-01,,Федеральный парламентский штат
И ДОЛЖНОСТНЫЕ ЛИЦА,,,"Парламентская демократия, которая сохраняет в качестве глав государств принцип взаимности"
TCH,1960-08-11,,Республика
ARU,,Нл,часть нидерландского королевства
Нл,1579-01-01,,конституционная монархия
CI,1960-08-07,,Республика
NEP,1768-01-01,,по состоянию на 12 мая 1991 года
МК,1419-01-01,,конституционная монархия
ИУ,1944-06-17,,Республика
ТДж,,,Коммунистическое государство
СУД,1956-01-01,,Прежняя правящая военная хунта
ВАГ,1965-02-18,,Республика в условиях многопартийного демократического правления
AXA,,ГБ,Британские заморские территории
SK,1993-01-01,,парламентская демократия
ЭВ,1991-09-06,,Республика
Газа,,,
БРИН,1971-08-15,,Традиционная монархия
РН,1960-08-03,,Республика
ПДТ,1975-07-12,,Республика
Клянусь!,1991-08-25,,Республика
РТ,1960-04-27,,Республика в процессе перехода к многопартийному демократическому правлению
Н,1001-01-01,,Республика
ВАФА,,F,Зарубежная территория Франции
ТУКА,,ГБ,Британские заморские территории
GH,1957-03-06,,конституционная демократия
ОПП,2006-06-05,,парламентская демократия
ЗАХОД,,,
VN,1945-09-02,,Коммунистическое государство
PY,1811-05-14,,Республика
A,1918-11-12,,Федеративная республика
ТМ,1991-10-27,,Республика
RSA,1910-05-31,,Республика
HELX,,ГБ,Британские заморские территории
ЛБ,,,Республика
CH,,,Федеративная республика
НИК,1821-09-15,,Республика
ЕС,1822-05-24,,Республика
СП,1960-07-01,,нет
ПК,1947-08-14,,Республика
ГРОКС,,ДК,части датской территории
DZ,1962-07-05,,Республика
Ру,1828-08-25,,Республика
РОУ,1650-01-01,,монархия
МСП,1975-11-25,,Республика
SLO,1991-06-25,,Формирующаяся демократия
Р,1991-08-24,,Федерация
B,1830-10-04,,конституционная монархия
МЭТ,1956-03-02,,конституционная монархия
ВИРГ,,,организован
RO,1881-01-01,,Республика
ФШМ,1986-11-03,,конституционное правительство в свободной ассоциации с США
TN,1956-03-20,,Республика
CV,1975-07-05,,Республика
