name,area,depth,altitude,type,river,longitude,latitude
Ozero Baykal,31492.0,1637.0,455.0,,Ангара,108.0,53.0
Lago de Sobradinho,4214.0,,,искусственные,Рио Сан-Франциско,-40.7,-9.46
Озеро Босумтви,49.0,81.0,107.0,последствия,,-1.4,6.5
Озеро Кабора-Басса,2800.0,,326.0,искусственные,Замбези,32.7,-15.6
Старнбергер См.,56.36,127.7,584.0,,Вёрм,11.32,47.92
Лахер Маар,3.3,53.0,275.0,Кальдера,,7.3,50.4
Озеро Киву,2650.0,450.0,1462.0,,Рузизи,29.2,-1.8
Ozero Onega,9.616,127.0,33.0,,Прокрутка,35.485,61.67
Валенерн,5648.0,106.0,44.0,,Гётаэльв,13.3,58.8
Салар де Уюни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Великое Соленое озеро,4400.0,10.0,1279.0,,,-112.6,41.15
Озеро Виннипесауке,186.0,55.0,153.0,,Река Мерримак,-71.3,43.6
Озеро Сесе Секо/Альбертзе,5347.0,48.0,619.0,,Бахр-эль-Джебель/Альберт-Нил,30.9,1.7
Великолепное медвежье озеро,31792.0,446.0,156.0,,,-120.6,65.9
Озеро Гурон,59600.0,229.0,176.0,,Река Детройт,-82.44,44.795
Пирамидское озеро,487.0,108.0,1155.0,соль,,-119.57,40.03
Ozero Taimir,4560.0,26.0,5.0,,,101.6,74.5
Лаго-ди-Больсена,114.0,151.0,335.0,Кальдера,,11.9,42.6
Озеро Нипигон,4848.0,165.0,260.0,,,-88.5,49.83
Озеро Форт-Пек,981.0,67.0,,искусственные,Миссури,-106.4,48.0
Жуй Бахир,800.0,7.5,520.0,соль,,36.85,4.7
Лаго Трасимено,128.0,7.0,259.0,Кальдера,,12.1,43.1
Озеро Бангвеулу,10000.0,4.0,1140.0,,Луапула,29.7,-11.2
Озеро Манагуа,1035.0,20.0,39.0,,Рио Сан-Хуан,-86.4,12.35
Озеро Ван,3740.0,457.0,1719.0,соль,,42.9,38.6
Хамун и Джаз Мурьян,1600.0,,500.0,соль,,61.2,30.8
Озеро Каинджи,1243.0,,,искусственные,Нигер,4.5,10.4
Озеро Чикамауга,147.0,,,,Теннесси,-85.0,35.4
Лак-ассаль,54.0,,-155.0,соль,,42.4,11.65
Великое Невольничье озеро,28568.0,614.0,156.0,,Река Маккензи,-113.9,61.7
Кратерское озеро,53.2,594.0,1883.0,Кальдера,,-122.1,42.9
Лак Леман,581.0,310.0,372.0,,Роун,6.5,46.5
Озеро Виктория,68870.0,85.0,1134.0,,Виктория Нил,33.0,-1.0
Лаго-ди-Комо,146.0,425.0,197.0,,Adda,9.3,46.0
Озеро Урмия,5470.0,7.0,1280.0,соль,,45.3,37.7
Озеро Преспа,273.0,54.0,849.0,,,21.0,40.9
Озеро Тоба,1103.0,505.0,905.0,Кальдера,Асахан,98.8,2.6
Озеро Натрон,1040.0,2.0,600.0,соль,,36.0,-2.4
Мертвое море,41650.0,378.0,-422.0,соль,,35.5,31.3
Бодензе,538.5,254.0,395.0,,Рейн,9.4,47.6
Брайенцерзе,29.8,260.0,564.0,,Aare,7.97,46.73
Аммерзе,46.6,81.1,533.0,,Аммер,11.6,48.0
Кентуккиское озеро,648.0,,,,Теннесси,-88.3,37.0
Озеро Айаси,1050.0,,1030.0,соль,,35.0,-3.6
Озеро Окечоби,1890.0,4.0,,,,-80.8,26.94
Озеро Маниту,104.0,,,,,-82.0,45.76
Озеро Хьюм,202.0,,,,Мюррей Ривер,147.0,-36.1
Озеро Мид,640.0,180.0,372.0,искусственные,Колорадо,-114.75,36.05
Ozero Chanka,4400.0,,,,,132.4,45.0
&lt; &lt; Инари &gt; &gt;,1040.0,92.0,119.0,,Паатшоки,27.7,68.95
Маеларен,1140.0,66.0,0.7,,,17.1,59.4
Лаго Маггиоре,216.0,372.0,193.0,,Тичино,8.6,45.95
Озеро Малави,29600.0,704.0,474.0,,Чир,34.0,-12.0
Сильвян,290.0,134.0,161.0,последствия,Остердалаэльв,14.8,60.85
Озеро Берли Гриффин,6.64,,556.0,искусственные,Река Муррумбиджи,149.1,-35.3
&lt; &lt; Полиция &gt; &gt;,370.0,346.0,65.0,,Минсио,10.65,45.6
Озеро Абайя,1285.0,13.0,619.0,соль,,37.8,6.3
Озеро Мичиган,57800.0,281.0,176.0,,,-87.08,43.69
Цюрихсэ,88.0,136.0,406.0,,Лимат,8.23631,47.5018
Озеро Женезарет,165.0,46.0,-212.0,,Иордания,35.6,32.81
Озеро Тахо,497.0,501.0,1900.0,,Река Грузовик,-120.0,39.0
Какашки,1340.0,4.0,3686.0,соль,,-67.1,-18.55
Озеро Кариба,5580.0,32.0,,искусственные,Замбези,28.75,-16.5
"Дэриаш, ты, Намак",1800.0,1.0,790.0,соль,,51.88,34.5
Лаго-де-Чапала,1685.0,12.0,1520.0,,Рио-Лерма,-103.05,20.22
Озеро Насер,5250.0,180.0,183.0,искусственные,Нил,31.75,22.4
Рутанзиге/Эдардзе,2325.0,112.0,920.0,,Семлики,29.6,-0.35
Озеро Аббе,320.0,37.0,243.0,соль,,41.8,11.2
Озеро Туркана,6405.0,73.0,375.0,соль,,36.1,3.6
Лох-Несс,56.0,226.0,16.0,,,-4.44,57.31
Озеро Иразу,1.0,,3200.0,кислота,,-83.9,10.0
озеро Никарагуа,8157.0,45.0,31.0,,Рио Сан-Хуан,-85.35,11.6
Чадское озеро,23000.0,7.0,250.0,соль,,14.0,13.2
Балатон,594.0,12.5,104.0,,,17.6,46.8
&lt; &lt; Нам Ко &gt; &gt;,1855.0,125.0,4718.0,соль,,90.55,30.7
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,5770.0,19.0,71.0,соль,,-62.67,-30.5
Озеро Скутари,368.0,44.0,7.0,,,19.3,42.2
Иссык-Куль,6236.0,668.0,1609.0,соль,,77.2,42.4
Озеро Ньос,,208.0,,Кальдера,,10.3,6.44
Озеро Эри,25745.0,64.0,174.0,,Река Ниагара,-81.27,42.16
Озеро Айр,9500.0,4.0,-17.0,соль,,137.3,-28.6
Саймаа,4370.0,85.0,76.0,,Вуокси,28.0,61.3
Лаго-ди-Бракьяно,57.0,160.0,164.0,Кальдера,,12.2,42.1
Озеро Маникуаган,1942.0,,350.0,последствия,,-68.7,51.4
Озеро Киога,1720.0,5.7,914.0,,Виктория Нил,33.0,1.5
Ozero Tschany,2500.0,106.0,10.0,,,77.5,54.9
Лоп Нор,5000.0,0.0,780.0,соль,,90.6,40.2
Ozero Pskovskoje,3555.0,14.6,30.0,,Нарва,27.49,58.68
Ozero Ladoga,18400.0,225.0,4.0,,Ньюа,31.53,60.82
Нойсидлерсе,320.0,1.8,115.5,,,16.7,47.8
Туннели,48.3,217.0,558.0,,Aare,7.716,46.69
Озеро Онтарио,18960.0,244.0,75.0,,Река Святого Лоуренса,-77.96,43.695
Озеро Мверу,5120.0,27.0,931.0,,Лувуа,28.7,-9.0
Озеро Кебан,675.0,,,,Евфрат,38.75,38.8
Озеро Титикака,8372.0,281.0,3812.0,,Рио Десагуадеро,-69.33,-15.84
Крейтерское озеро Ликанкабур,0.005,,5600.0,кратер,,-67.9,-22.8
Мьоза-Смотри.,368.0,449.0,123.0,,Лаген,11.0,60.65
Барьер &lt; &lt; Мбакау &gt; &gt;,,,,искусственные,Санага,12.75,6.4
Озеро Тана,3000.0,14.0,1830.0,,Синий Нил,37.3,12.0
Ozero Aral,17160.0,35.0,31.0,соль,,59.62,44.81
