abbreviation,name,city,country,province,established
Группа восьми,Группа 8,,,,1975-10-01
БДЭАК,Банк развития центральноафриканских государств,Браззавиль,КБК,Конго,1975-12-03
ЭСКАТО,Экономическая и социальная комиссия для Азии и Тихого океана,Бангкок,ТА,Таиланд,1947-03-28
АКК,Арабский совет сотрудничества,,,,1989-02-16
WTRO,Всемирная торговая организация,,,,1994-04-15
МАГАТЭ,Международное агентство по атомной энергии,Вена,A,Вена,1956-10-26
ЛАИА,Латиноамериканская ассоциация интеграции,Монтевидео,Ру,Уругвай,1980-08-12
ОВКГ,Организация восточнокарибских государств,Кастри,WL,Сент-Люсия,1981-06-18
ОМЧП,Партнерство во имя мира,,,,1994-01-10
СЕ,Совет Европы,Страсбург,F,Alsace,1949-05-05
ЕКА,Европейское космическое агентство,Париж,F,Иль де Франция,1973-07-31
БИС,Банк международных расчетов,Базель,CH,BS,1930-01-20
О-9,Группа 9,,,,
МНООНЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ЕС,Европейский союз,Брюссель,B,Брабант,1992-02-07
УВКБ,Управление Верховного комиссара Организации Объединенных Наций по делам беженцев,Женева,CH,ГЭ,1949-12-03
Г-10,Группа 10,Париж,F,Иль де Франция,1962-10-01
БКИ,Центральноамериканский банк экономической интеграции,Тегусигальпа,HCA,Франциско Моразан,1960-12-13
Группа 11,Группа 11,,,,1984-06-22
ИКАО,Международная организация гражданской авиации,Монреаль,КН,Квебек,1944-12-07
ОПЕК,Организация стран-экспортеров нефти,Вена,A,Вена,1960-09-14
C,Содружество,Лондон,ГБ,Большой Лондон,1931-12-31
ФАО,Продовольственная и сельскохозяйственная организация,Рим,I,Лацио,1945-10-16
Меркосур,Общий рынок стран Южного Конуса,Буэнос-Айрес,РЭ,Федеральный департамент,1991-03-26
ВОТ,Всемирная туристская организация,Мадрид,E,Мадрид,1975-01-02
ПСФ,Южнотихоокеанский форум,Сува,ФСО,Фиджи,1971-08-05
МОВЗР,Межправительственный орган по вопросам засухи и развития,Джибути,ДСО,Джибути,1986-01-15
О-7,Группа 7,,,,1985-09-22
ОЭСР,Организация экономического сотрудничества и развития,Париж,F,Иль де Франция,1960-12-14
АФЭСР,Арабский фонд экономического и социального развития,,,,1968-05-16
О-2,Группа 2,,,,
AL,Лига арабских государств,Каир,ЕТ,Эль-Кахира,1945-03-22
ЮНКТАД,Конференция Организации Объединенных Наций по торговле и развитию,Женева,CH,ГЭ,1964-12-30
CP,План Коломбо,Коломбо,Кл,Шри-Ланка,1951-07-01
ЕАСТ,Европейская ассоциация свободной торговли,Женева,CH,ГЭ,1960-01-04
ЮНИДО,Организация Объединенных Наций по промышленному развитию,Вена,A,Вена,1966-11-17
ОИК,Организация Исламская конференция,Джидда,С.А.,Саудовская Аравия,1969-09-22
ОЭС,Организация экономического сотрудничества,Тегеран,IR,Тегеран,1985-01-01
МООНРЗС,Миссия Организации Объединенных Наций по проведению референдума в Западной Сахаре,Нью-Йорк,США,Нью-Йорк,1991-04-29
СБС,Совет государств Балтийского моря,,,,1992-03-05
ЦЕИАК,Экономическое сообщество центральноафриканских государств,Либревиль,G,Габон,1983-10-18
АфБР,Африканский банк развития,Абиджан,CI,Кот-д &apos; Ивуар,1963-08-04
ЮНЕСКО,"Организация Объединенных Наций по вопросам образования, науки и культуры",Париж,F,Иль де Франция,1945-11-16
Инмарсат,Международная организация подвижной спутниковой связи,Лондон,ГБ,Большой Лондон,1976-09-03
НИБ,Скандинавский инвестиционный банк,Хельсинки,SF,Уусимаа,1975-12-04
ИКМООНН,Ирако-кувейтская миссия Организации Объединенных Наций по наблюдению,Нью-Йорк,США,Нью-Йорк,1991-04-09
МБРР,Международный банк реконструкции и развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1944-07-22
КАСМ,Центральноамериканский общий рынок,Город Гватемала,СУА,Гватемала,1960-12-13
ЮДЕАК,Таможенный и экономический союз Центральной Африки,Банги,РСС,Центральноафриканская Республика,1964-12-08
Г-19,Группа 19,,,,1975-10-01
AMU,Союз арабского Магриба,Рабат,МЭТ,Марокко,1989-02-17
ВАБР,Западноафриканский банк развития,Лом,РТ,Того,1973-11-14
КХЦ,Совет таможенного сотрудничества,Брюссель,B,Брабант,1950-12-15
АТЭС,Азиатско-тихоокеанское экономическое сотрудничество,Сингапур,SGP,Сингапур,1989-11-07
Бенилюкс,Экономический союз &lt; &lt; Бенилюкс &gt; &gt;,Брюссель,B,Брабант,1958-02-03
АзБР,Азиатский банк развития,Манила,РП,Филиппины,1966-12-19
МОК,Международный олимпийский комитет,Лозанна,CH,VD,1894-06-23
ВСООНК,Вооруженные силы Организации Объединенных Наций на Кипре,Нью-Йорк,США,Нью-Йорк,1964-03-04
ТСЮА,Таможенный союз южной части Африки,Претория,RSA,Гаутенг,1969-12-11
АКТ,"Страны Африки, Карибского бассейна и Тихоокеанского региона",Брюссель,B,Брабант,1976-04-01
МКПТ,Международное движение Красного Креста и Красного Полумесяца,Женева,CH,ГЭ,1928-01-01
ЕАБР,Восточноафриканский банк развития,Кампала,ЕАС,Уганда,1967-06-06
ЭН,Агентство по ядерной энергии,,,,1958-01-01
АНЗЫ,Договор о безопасности между Австралией и Новой Зеландией и Соединенными Штатами,Канберра,AUS,Австралийская столичная территория,1951-09-01
МФК,Международная финансовая корпорация,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1955-05-25
УООН,Университет Организации Объединенных Наций,,,,1973-12-06
МВФ,Международный валютный фонд,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1944-07-22
СООННР,Силы Организации Объединенных Наций по наблюдению за разъединением,Дамаск,СИР,Сирия,1974-05-31
ЭКОВАС,Экономическое сообщество западноафриканских государств,Лагос,ВАН,Нигерия,1975-05-28
АБЕДА,Арабский банк экономического развития в Африке,Хартум,СУД,Аль-Хартум,1974-02-18
ЦЕРН,Европейская организация ядерных исследований,Женева,CH,ГЭ,1953-07-01
ОООНВД,Операция Организации Объединенных Наций по восстановлению доверия в Хорватии,Нью-Йорк,США,Нью-Йорк,1995-03-31
ОАТЭС,Организация арабских стран-экспортеров нефти,,,,1968-01-09
АСЕАН,Ассоциация государств Юго-Восточной Азии,Джакарта,РИ,Индонезия,1967-08-09
КМООНА III,Контрольная миссия Организации Объединенных Наций в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
СНГ,Содружество Независимых Государств,Минск,Клянусь!,Беларусь,1991-12-08
САДК,Сообщество по вопросам развития стран юга Африки,Габороне,РБ,Ботсвана,1992-08-17
ЕЭК,Европейская экономическая комиссия,Женева,CH,ГЭ,1947-03-28
РКРТ,Режим контроля за ракетной технологией,,,,1987-04-16
ZC,Комитет Цангера,,,,
Группа 77,Группа 77,,,,1967-10-01
CEPGL,Экономическое сообщество стран Великих озер,,,,1976-09-26
МЭА,Международное энергетическое агентство,Париж,F,Иль де Франция,1974-11-15
ССЗ,Совет сотрудничества стран Залива,Эр-Рияд,С.А.,Саудовская Аравия,1981-05-25
ППТС,Постоянная палата третейского суда,,,,1899-07-29
ОНВУП,Организация Объединенных Наций по наблюдению за выполнением условий перемирия,Иерусалим,Ил,Центральный,1948-05-01
ОПАНАЛ,Агентство по запрещению ядерного оружия в Латинской Америке и Карибском бассейне,Мехико,МЕКС,Федеральный департамент,1967-02-14
МУС,Международная торговая палата,Париж,F,Иль де Франция,1919-01-01
МФСР,Международный фонд сельскохозяйственного развития,Рим,I,Лацио,1974-11-01
ВОЗ,Всемирная организация здравоохранения,Женева,CH,ГЭ,1946-07-22
БАПОР,Ближневосточное агентство Организации Объединенных Наций для помощи палестинским беженцам и организации работ,Вена,A,Вена,1949-12-08
Интерпол,Международная организация уголовной полиции,Лион,F,Рон-Алпес,1956-06-13
АККТ,Агентство по культурному и техническому сотрудничеству,Париж,F,Иль де Франция,1970-03-21
О-3,Группа 3,,,,1990-10-01
ГВНООНИП,Группа военных наблюдателей Организации Объединенных Наций в Индии и Пакистане,Нью-Йорк,США,Нью-Йорк,1948-08-13
ВМО,Всемирная метеорологическая организация,Женева,CH,ГЭ,1947-10-11
Кариком,Карибское сообщество и Общий рынок,Джорджтаун,Парень,Гайана,1973-07-04
ВКЛ,Всемирная конфедерация труда,Брюссель,B,Брабант,1920-06-19
