sea,country,province
Атлантический океан,E,Канарские острова
Атлантический океан,КР,Алагоа
Персидский залив,KWT,Кувейт
Азовское море,UA,Крим
Арабское море,СИН,Тамилнад
Атлантический океан,США,Массачусетс
Южно-Китайское море,ТЗА,Теренгану
Карибское море,WD,Доминика
Арабское море,СИН,Гуджарат
Карибское море,C,&lt; &lt; Исла де ла Ювентуд &gt; &gt;
Средиземное море,ТR,Баликешир
Северный Ледовитый океан,США,Аляска
Тихоокеанский океан,США,Вашингтон
Карибское море,ПА,Бокас дель Торо
Черное море,ТR,Самсун
Канал,ГБ,Восточный Сассекс
Северное море,Нл,Зиланд
Атлантический океан,Р,Виана ду Кастело
Северное море,ГБ,Нагорья
Средиземное море,ТR,Хатай
Тихоокеанский океан,AUS,Виктория
Атлантический океан,ТТ,Тринидад и Тобаго
Атлантический океан,США,Вирджиния
Карибское море,C,Гуантанамо
Карибское море,CO,Чоко
Японское море,J,Шиман
Тихоокеанский океан,К,Тонга
Каттегат,И,Кристианстад
Персидский залив,IR,Бушер
Атлантический океан,C,Вилла Клара
Атлантический океан,ЗРЕ,Бас Заир
Тихоокеанский океан,ЕС,Эквадор
Атлантический океан,КН,Нью-Брансуик
Канал,ГБ,Корнуолл
Индийский океан,РИ,Индонезия
Японское море,J,Хоккайдо
Красное море,ЧП,Эритрея
Карибское море,YV,Дельта Амакуро
Каттегат,И,Мальмохус
Тихоокеанский океан,АМСА,Американское Самоа
Бенгальский залив,СИН,Андаман и Никобар тоже.
Тихоокеанский океан,НИК,Никарагуа
Карибское море,СУА,Гватемала
Тихоокеанский океан,США,Гавайи
Желтое море,ОК,Южная Корея
Карибское море,HCA,Атлантида
Японское море,J,Ниигата
Оманский залив,ОАЭ,Аль-Фуджайра
Тихоокеанский океан,КР,Тайвань
Карибское море,YV,Сукре
Атлантический океан,E,Кантабрия
Средиземное море,I,Сицилия
Индийский океан,СП,Сомали
Карибское море,CO,Антиокия
Индийский океан,RSA,Квазулу Наталь
Атлантический океан,США,Нью-Джерси
Балтийское море,SF,Вааса
Беременное море,США,Аляска
Тихоокеанский океан,ПАЛ,Палау
Черное море,ТR,Кастамону
Тихоокеанский океан,CO,Чоко
Балтийское море,SF,Аландская
Тихоокеанский океан,ГУАМ,Гуам
Атлантический океан,C,Ольгин
Атлантический океан,Р,Авейро
Карибское море,ЧР,Лимон
Мексиканский залив,США,Флорида
