managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
williji03m,2003,HOU,NL,1,162,87,75,2.0,N
ewingbu01m,1895,CIN,NL,1,132,66,64,8.0,Y
rolfere01m,1952,DET,AL,1,73,23,49,8.0,N
kellyki01m,1891,CN3,AA,1,102,43,57,7.0,Y
rodgebu01m,1980,ML4,AL,1,47,26,21,3.0,N
stengca01m,1959,NYA,AL,1,155,79,75,3.0,N
bellbu01m,2006,KCA,AL,1,162,62,100,5.0,N
bauerha01m,1961,KC1,AL,2,102,35,67,9.0,Y
armoubi99m,1905,DET,AL,1,154,79,74,3.0,N
brownmo01m,1914,SLF,FL,1,114,50,63,8.0,Y
kittrma01m,1904,WS1,AL,1,18,1,16,8.0,Y
rodgebu01m,1992,CAL,AL,1,39,19,20,5.0,N
orrda01m,1887,NY4,AA,2,8,3,5,7.0,Y
hargrmi01m,1992,CLE,AL,1,162,76,86,5.0,N
austiji01m,1913,SLA,AL,2,8,2,6,8.0,Y
johnswa01m,1934,CLE,AL,1,154,85,69,3.0,N
boudrlo01m,1943,CLE,AL,1,153,82,71,3.0,Y
berrayo01m,1984,NYA,AL,1,162,87,75,3.0,N
jonesfi01m,1905,CHA,AL,1,158,92,60,2.0,Y
howleda01m,1932,CIN,NL,1,155,60,94,8.0,N
careyto01m,1873,BL1,,2,24,14,9,3.0,Y
hitchbi01m,1963,BAL,AL,1,162,86,76,4.0,N
sullibi03m,1909,CHA,AL,1,159,78,74,4.0,Y
keanejo99m,1963,SLN,NL,1,162,93,69,2.0,N
burnhwa99m,1887,IN3,NL,1,28,6,22,8.0,N
garcida99m,1977,CAL,AL,2,81,35,46,5.0,N
mcbridi01m,1874,PH1,,1,56,33,23,3.0,Y
southbi01m,1948,BSN,NL,1,154,91,62,1.0,N
ermerca01m,1967,MIN,AL,2,114,66,46,2.0,N
mutriji99m,1889,NY1,NL,1,131,83,43,1.0,N
rigglji99m,2010,WAS,NL,1,162,69,93,5.0,N
mcgrajo01m,1910,NY1,NL,1,155,91,63,2.0,N
frazijo01m,1977,NYN,NL,1,45,15,30,6.0,N
gonzafr99m,2009,FLO,NL,1,162,87,75,2.0,N
hinchaj01m,2009,ARI,NL,2,133,58,75,5.0,N
torrejo01m,1994,SLN,NL,1,115,53,61,3.0,N
duffyhu01m,1921,BOS,AL,1,154,75,79,5.0,N
birmijo01m,1915,CLE,AL,1,28,12,16,7.0,N
bakerde01m,1940,DET,AL,1,155,90,64,1.0,N
gardnbi02m,1981,MIN,AL,2,73,30,43,4.0,N
williji03m,2004,HOU,NL,1,88,44,44,5.0,N
gibbojo02m,2006,TOR,AL,1,162,87,75,2.0,N
woodji01m,1871,CH1,,1,28,19,9,2.0,Y
tebbebi01m,1958,CIN,NL,1,113,52,61,4.0,N
millsbr01m,2011,HOU,NL,1,162,56,106,6.0,N
harrilu01m,1969,ATL,NL,1,162,93,69,1.0,N
mcgrajo01m,1908,NY1,NL,1,157,98,56,3.0,N
murtada01m,1975,PIT,NL,1,161,92,69,1.0,N
buckeal99m,1895,SLN,NL,1,50,16,34,11.0,N
durocle01m,1946,BRO,NL,1,157,96,60,2.0,N
gibsoge01m,1933,PIT,NL,1,154,87,67,2.0,N
speaktr01m,1920,CLE,AL,1,154,98,56,1.0,Y
fregoji01m,1981,CAL,AL,1,47,22,25,4.0,N
larusto01m,1985,CHA,AL,1,163,85,77,3.0,N
muserto01m,1998,KCA,AL,1,161,72,89,3.0,N
liponjo01m,1971,CLE,AL,2,59,18,41,6.0,N
lopezal01m,1951,CLE,AL,1,155,93,61,2.0,N
ansonca01m,1875,PH1,,2,8,4,2,2.0,Y
bochybr01m,2004,SDN,NL,1,162,87,75,3.0,N
valenbo02m,1985,TEX,AL,2,129,53,76,7.0,N
hartsro01m,1979,TOR,AL,1,162,53,109,7.0,N
howleda01m,1927,SLA,AL,1,155,59,94,7.0,N
killebi01m,1923,CHN,NL,1,154,83,71,4.0,N
giffoji99m,1884,IN2,AA,1,87,25,60,11.0,N
hanlone01m,1897,BLN,NL,1,136,90,40,2.0,N
valenbo02m,1991,TEX,AL,1,162,85,77,3.0,N
dykesji01m,1934,CHA,AL,2,138,49,88,8.0,Y
walkeha01m,1969,HOU,NL,1,162,81,81,5.0,N
dowdto01m,1896,SLN,NL,5,63,25,38,11.0,Y
paborch01m,1875,BR2,,1,42,2,40,12.0,Y
guilloz01m,2007,CHA,AL,1,162,72,90,4.0,N
burkeji01m,1918,SLA,AL,3,61,29,31,5.0,N
donovpa01m,1901,SLN,NL,1,142,76,64,4.0,Y
hanlone01m,1898,BLN,NL,1,154,96,53,2.0,N
mccarjo99m,1936,NYA,AL,1,155,102,51,1.0,N
mccarjo99m,1948,BOS,AL,1,155,96,59,2.0,N
griffcl01m,1903,NYA,AL,1,136,72,62,4.0,Y
garneph01m,2001,DET,AL,1,162,66,96,4.0,N
yostne01m,2010,KCA,AL,2,127,55,72,5.0,N
mcmanma01m,1932,BOS,AL,2,99,32,67,8.0,Y
ansonca01m,1891,CHN,NL,1,137,82,53,2.0,Y
bakerdu01m,1994,SFN,NL,1,115,55,60,2.0,N
larusto01m,1981,CHA,AL,1,106,54,52,3.0,N
harribu01m,1955,DET,AL,1,154,79,75,5.0,N
herzobu01m,1916,CIN,NL,1,84,34,49,7.0,Y
bambege01m,1978,ML4,AL,1,162,93,69,3.0,N
manueje01m,2010,NYN,NL,1,162,79,83,4.0,N
actama99m,2009,WAS,NL,1,87,26,61,5.0,N
tappeel01m,1961,CHN,NL,9,16,5,11,7.0,N
robinfr02m,2004,MON,NL,1,162,67,95,5.0,N
larusto01m,1988,OAK,AL,1,162,104,58,1.0,N
clarkfr01m,1910,PIT,NL,1,154,86,67,3.0,Y
wrighha01m,1877,BSN,NL,1,61,42,18,1.0,Y
ansonca01m,1879,CHN,NL,1,64,41,21,4.0,Y
peckiro01m,1928,CLE,AL,1,155,62,92,7.0,N
mccarjo99m,1927,CHN,NL,1,153,85,68,4.0,N
bristda99m,1976,ATL,NL,1,162,70,92,6.0,N
duffyhu01m,1910,CHA,AL,1,156,68,85,6.0,N
rickebr01m,1921,SLN,NL,1,154,87,66,3.0,N
simmojo01m,1884,WIL,UA,1,18,2,16,12.0,N
kenneke99m,1996,BOS,AL,1,162,85,77,3.0,N
seleefr99m,1893,BSN,NL,1,131,86,43,1.0,N
darkal01m,1963,SFN,NL,1,162,88,74,3.0,N
nichoki01m,1904,SLN,NL,1,155,75,79,5.0,Y
dressch01m,1937,CIN,NL,1,130,51,78,8.0,N
lopezal01m,1963,CHA,AL,1,162,94,68,2.0,N
crandde01m,1974,ML4,AL,1,162,76,86,5.0,N
dressch01m,1951,BRO,NL,1,158,97,60,2.0,N
grimmch01m,1944,CHN,NL,3,146,74,69,4.0,N
mccarjo99m,1934,NYA,AL,1,154,94,60,2.0,N
johnsda02m,2000,LAN,NL,1,162,86,76,2.0,N
rothsla01m,2001,TBA,AL,1,14,4,10,5.0,N
guttedo01m,1970,CHA,AL,1,136,49,87,6.0,N
harribu01m,1954,WS1,AL,1,155,66,88,6.0,N
gastoci01m,1992,TOR,AL,1,162,96,66,1.0,N
grohhe01m,1918,CIN,NL,2,10,7,3,3.0,Y
pearcdi01m,1875,SL2,,1,72,39,29,4.0,Y
brownfr99m,1882,WOR,NL,1,41,9,32,8.0,N
davenji01m,1985,SFN,NL,1,144,56,88,6.0,N
jennihu01m,1910,DET,AL,1,155,86,68,3.0,N
buckeal99m,1903,BSN,NL,1,140,58,80,6.0,N
gastoci01m,1996,TOR,AL,1,162,74,88,4.0,N
stallge01m,1898,PHI,NL,1,46,19,27,6.0,Y
manueje01m,1999,CHA,AL,1,161,75,86,2.0,N
smithma01m,1969,DET,AL,1,162,90,72,2.0,N
dyered01m,1950,SLN,NL,1,153,78,75,5.0,N
guilloz01m,2012,FLO,NL,1,162,69,93,5.0,N
tannech01m,1973,CHA,AL,1,162,77,85,5.0,N
haneyfr01m,1958,ML1,NL,1,154,92,62,1.0,N
narroje01m,2001,TEX,AL,2,134,62,72,4.0,N
vernomi01m,1961,WS2,AL,1,161,61,100,9.0,N
wrighha01m,1887,PHI,NL,1,128,75,48,2.0,N
smithma01m,1958,PHI,NL,1,84,39,45,8.0,N
hanlone01m,1891,PIT,NL,1,78,31,47,8.0,Y
coxbo01m,2010,ATL,NL,1,162,91,71,2.0,N
knighra01m,1997,CIN,NL,1,99,43,56,3.0,N
torrejo01m,2006,NYA,AL,1,162,97,65,1.0,N
dressch01m,1934,CIN,NL,3,60,21,39,8.0,N
scanlmi99m,1886,WS8,NL,1,82,13,67,8.0,N
tebeapa01m,1890,CLP,PL,2,52,21,30,7.0,Y
durocle01m,1955,NY1,NL,1,154,80,74,3.0,N
murtada01m,1976,PIT,NL,1,162,92,70,2.0,N
virdobi01m,1984,MON,NL,1,131,64,67,5.0,N
gordojo01m,1960,DET,AL,3,57,26,31,6.0,N
rosepe01m,1987,CIN,NL,1,162,84,78,2.0,N
williji03m,1989,TOR,AL,1,36,12,24,1.0,N
oneilst01m,1953,PHI,NL,1,156,83,71,4.0,N
grimmch01m,1938,CHN,NL,1,81,45,36,1.0,N
bushdo01m,1931,CHA,AL,1,156,56,97,8.0,N
virdobi01m,1977,HOU,NL,1,162,81,81,3.0,N
huggimi01m,1923,NYA,AL,1,152,98,54,1.0,N
howear01m,2000,OAK,AL,1,161,91,70,1.0,N
leylaji99m,2011,DET,AL,1,162,95,67,1.0,N
runnepe01m,1966,BOS,AL,2,16,8,8,9.0,N
schoere01m,1965,SLN,NL,1,162,80,81,7.0,N
hackst01m,1958,SLN,NL,2,10,3,7,5.0,N
chancfr01m,1905,CHN,NL,2,90,55,33,3.0,Y
collite99m,1998,ANA,AL,1,162,85,77,2.0,N
schoere01m,1973,SLN,NL,1,162,81,81,2.0,N
watkibi01m,1888,DTN,NL,1,94,49,44,5.0,N
huggimi01m,1922,NYA,AL,1,154,94,60,1.0,N
alstowa01m,1957,BRO,NL,1,154,84,70,3.0,N
leylaji99m,1999,COL,NL,1,162,72,90,5.0,N
oneilst01m,1943,DET,AL,1,155,78,76,5.0,N
fessewa99m,1890,SR2,AA,2,11,4,7,6.0,N
bristda99m,1967,CIN,NL,1,162,87,75,4.0,N
ewingbu01m,1890,NYP,PL,1,132,74,57,3.0,Y
hanlone01m,1889,PIT,NL,3,46,26,18,5.0,Y
zimmech01m,1903,PHI,NL,1,139,49,86,7.0,Y
murtada01m,1960,PIT,NL,1,155,95,59,1.0,N
torrejo01m,1996,NYA,AL,1,162,92,70,1.0,N
bakerdu01m,2004,CHN,NL,1,162,89,73,3.0,N
johnsda02m,1993,CIN,NL,2,118,53,65,5.0,N
kellyto01m,1990,MIN,AL,1,162,74,88,7.0,N
wilsoji01m,1935,PHI,NL,1,156,64,89,7.0,Y
michage01m,1982,NYA,AL,2,86,44,42,5.0,N
fregoji01m,1994,PHI,NL,1,115,54,61,4.0,N
melesa01m,1964,MIN,AL,1,163,79,83,6.0,N
hastisc01m,1872,CL1,,1,20,6,14,7.0,Y
lefebji01m,1993,CHN,NL,1,162,84,78,4.0,N
haneyfr01m,1941,SLA,AL,1,44,15,29,6.0,N
randowi01m,2005,NYN,NL,1,162,83,79,3.0,N
larusto01m,1986,OAK,AL,3,79,45,34,3.0,N
mckeoja99m,1978,OAK,AL,2,123,45,78,6.0,N
sewellu01m,1946,SLA,AL,1,125,53,71,7.0,N
boonebo01m,2002,CIN,NL,1,162,78,84,3.0,N
bochybr01m,2009,SFN,NL,1,162,88,74,3.0,N
howear01m,2003,NYN,NL,1,161,66,95,5.0,N
rodgebu01m,1980,ML4,AL,3,23,13,10,3.0,N
fohlle01m,1923,SLA,AL,1,103,52,49,5.0,N
phillho99m,1888,PIT,NL,1,139,66,68,6.0,N
mckecbi01m,1945,CIN,NL,1,154,61,93,7.0,N
lamonge01m,1998,PIT,NL,1,162,69,93,6.0,N
hornsro01m,1927,NY1,NL,2,33,22,10,3.0,Y
ganzejo01m,1915,BRF,FL,2,35,17,18,7.0,N
mcgrajo01m,1923,NY1,NL,1,153,95,58,1.0,N
johnsda02m,1985,NYN,NL,1,162,98,64,2.0,N
dykesji01m,1958,CIN,NL,2,41,24,17,4.0,N
durocle01m,1954,NY1,NL,1,154,97,57,1.0,N
gardero01m,2004,MIN,AL,1,162,92,70,1.0,N
sawyeed99m,1960,PHI,NL,1,1,0,1,8.0,N
actama99m,2012,CLE,AL,1,156,65,91,5.0,N
cronijo01m,1935,BOS,AL,1,154,78,75,4.0,Y
smithha03m,1909,BSN,NL,2,79,23,54,8.0,Y
stahlja01m,1905,WS1,AL,1,154,64,87,7.0,Y
ozarkda99m,1977,PHI,NL,1,162,101,61,1.0,N
williji03m,2001,BOS,AL,1,118,65,53,2.0,N
hendrja01m,1927,CIN,NL,1,153,75,78,5.0,N
boudrlo01m,1957,KC1,AL,1,104,36,67,7.0,N
fregoji01m,1986,CHA,AL,3,96,45,51,5.0,N
bakerdu01m,2002,SFN,NL,1,162,95,66,2.0,N
richapa01m,1959,BAL,AL,1,155,74,80,6.0,N
merrist99m,1991,NYA,AL,1,162,71,91,5.0,N
mcbrige01m,1921,WS1,AL,1,154,80,73,4.0,N
dressch01m,1956,WS1,AL,1,155,59,95,7.0,N
mackco01m,1913,PHA,AL,1,153,96,57,1.0,N
torboje01m,1992,NYN,NL,1,162,72,90,5.0,N
duffyhu01m,1905,PHI,NL,1,155,83,69,4.0,Y
griffsa01m,1891,WS9,AA,4,6,2,4,8.0,Y
valenbo02m,2000,NYN,NL,1,162,94,68,2.0,N
dahlebi01m,1912,BRO,NL,1,153,58,95,7.0,N
marioma01m,1955,CHA,AL,1,155,91,63,3.0,N
baylodo01m,1995,COL,NL,1,144,77,67,2.0,N
rosemch01m,1890,SL4,AA,3,15,7,8,3.0,Y
allenbo01m,1890,PHI,NL,4,35,25,10,3.0,Y
berrayo01m,1974,NYN,NL,1,162,71,91,5.0,N
aloufe01m,2001,MON,NL,1,53,21,32,5.0,N
mackco01m,1903,PHA,AL,1,137,75,60,2.0,N
startjo01m,1873,NY2,,2,25,18,7,4.0,Y
fergubo01m,1882,TRN,NL,1,85,35,48,7.0,Y
gardero01m,2007,MIN,AL,1,162,79,83,3.0,N
malonfe01m,1884,PHU,UA,1,67,21,46,8.0,Y
bancrda01m,1925,BSN,NL,1,153,70,83,5.0,Y
garneph01m,2005,HOU,NL,1,163,89,73,2.0,N
riddogr99m,1991,SDN,NL,1,162,84,78,3.0,N
colembo01m,1943,BSN,NL,1,46,21,25,6.0,N
speaktr01m,1922,CLE,AL,1,155,78,76,4.0,Y
stengca01m,1958,NYA,AL,1,155,92,62,1.0,N
spencha99m,1888,IN3,NL,1,136,50,85,7.0,N
schoere01m,1990,SLN,NL,2,24,13,11,6.0,N
peckiro01m,1914,NYA,AL,2,20,10,10,6.0,Y
griffcl01m,1916,WS1,AL,1,159,76,77,7.0,N
joycebi01m,1896,NY1,NL,2,43,28,14,7.0,Y
reachal01m,1890,PHI,NL,3,11,4,7,3.0,N
robinwi01m,1920,BRO,NL,1,155,93,61,1.0,N
hurdlcl01m,2003,COL,NL,1,162,74,88,4.0,N
lakefr01m,1909,BOS,AL,1,152,88,63,3.0,N
krolja99m,1978,SLN,NL,2,2,1,1,5.0,N
melvibo01m,2012,OAK,AL,1,162,94,68,1.0,N
eliale01m,1987,PHI,NL,2,101,51,50,4.0,N
maddojo99m,2006,TBA,AL,1,162,61,101,5.0,N
bristda99m,1979,SFN,NL,2,22,10,12,4.0,N
garneph01m,2006,HOU,NL,1,162,82,80,2.0,N
mcgrajo01m,1922,NY1,NL,1,156,93,61,1.0,N
durocle01m,1949,NY1,NL,1,156,73,81,5.0,N
ewingbu01m,1897,CIN,NL,1,134,76,56,4.0,Y
farrejo03m,2011,TOR,AL,1,162,81,81,4.0,N
johnswa01m,1933,CLE,AL,3,99,48,51,4.0,N
fergubo01m,1879,TRN,NL,2,30,7,22,8.0,Y
mackco01m,1944,PHA,AL,1,155,72,82,5.0,N
morgajo01m,1991,BOS,AL,1,162,84,78,3.0,N
watkibi01m,1889,KC2,AA,1,139,55,82,7.0,N
gleaski01m,1923,CHA,AL,1,156,69,85,7.0,N
grimmch01m,1954,ML1,NL,1,154,89,65,3.0,N
marioma01m,1953,SLA,AL,1,154,54,100,8.0,Y
richapa01m,1953,CHA,AL,1,156,89,65,3.0,N
moranpa01m,1918,PHI,NL,1,125,55,68,6.0,N
gibbojo02m,2005,TOR,AL,1,162,80,82,3.0,N
bristda99m,1969,CIN,NL,1,163,89,73,3.0,N
tebbebi01m,1963,CLE,AL,1,162,79,83,6.0,N
clemeja01m,1890,PHI,NL,2,19,13,6,3.0,Y
farrejo03m,2012,TOR,AL,1,162,73,89,4.0,N
valenbo02m,2012,BOS,AL,1,162,69,93,5.0,N
peckiro01m,1932,CLE,AL,1,153,87,65,4.0,N
waltzjo99m,1892,BLN,NL,2,8,2,6,12.0,N
wakamdo01m,2009,SEA,AL,1,162,85,77,3.0,N
freyji99m,1980,KCA,AL,1,162,97,65,1.0,N
manuech01m,2002,CLE,AL,1,86,39,47,3.0,N
murtada01m,1959,PIT,NL,1,155,78,76,4.0,N
harribu01m,1943,PHI,NL,1,94,39,53,7.0,N
torrejo01m,2002,NYA,AL,1,161,103,58,1.0,N
larusto01m,1986,CHA,AL,1,64,26,38,5.0,N
hornsro01m,1934,SLA,AL,1,154,67,85,6.0,Y
dressch01m,1960,ML1,NL,1,154,88,66,2.0,N
schuljo05m,1969,SE1,AL,1,163,64,98,6.0,N
fohlle01m,1915,CLE,AL,2,127,45,79,7.0,N
fergubo01m,1881,TRN,NL,1,85,39,45,5.0,Y
kuennha01m,1983,ML4,AL,1,162,87,75,5.0,N
weaveea99m,1975,BAL,AL,1,159,90,69,2.0,N
boonebo01m,2003,CIN,NL,1,104,46,58,5.0,N
edwardo01m,1989,CLE,AL,1,143,65,78,6.0,N
gardero01m,2011,MIN,AL,1,162,63,99,5.0,N
rignebi01m,1972,MIN,AL,1,70,36,34,3.0,N
walkeha01m,1970,HOU,NL,1,162,79,83,4.0,N
weaveea99m,1972,BAL,AL,1,154,80,74,3.0,N
durocle01m,1972,CHN,NL,1,91,46,44,2.0,N
mclarjo99m,2008,SEA,AL,1,72,25,47,4.0,N
bushdo01m,1923,WS1,AL,1,155,75,78,4.0,Y
stengca01m,1940,BSN,NL,1,152,65,87,7.0,N
shannda01m,1891,WS9,AA,3,51,15,34,8.0,Y
mackco01m,1934,PHA,AL,1,153,68,82,5.0,N
johnsda02m,1990,NYN,NL,1,42,20,22,2.0,N
garcida99m,1978,CAL,AL,1,45,25,20,2.0,N
andersp01m,1993,DET,AL,1,162,85,77,4.0,N
robinfr02m,1975,CLE,AL,1,159,79,80,4.0,Y
donovpa01m,1897,PIT,NL,1,135,60,71,8.0,Y
melvibo01m,2006,ARI,NL,1,162,76,86,4.0,N
howleda01m,1929,SLA,AL,1,154,79,73,4.0,N
willidi02m,1988,SEA,AL,1,56,23,33,7.0,N
herzowh01m,1978,KCA,AL,1,162,92,70,1.0,N
gardero01m,2006,MIN,AL,1,162,96,66,1.0,N
murrabi99m,1908,PHI,NL,1,155,83,71,4.0,N
rojasco01m,1988,CAL,AL,1,154,75,79,4.0,N
fregoji01m,1980,CAL,AL,1,160,65,95,6.0,N
farreja02m,1881,PRO,NL,1,51,24,27,2.0,Y
tebeapa01m,1894,CL4,NL,1,130,68,61,6.0,Y
ozarkda99m,1974,PHI,NL,1,162,80,82,3.0,N
johnsro01m,1944,CHN,NL,2,1,0,1,4.0,N
rappve99m,1977,SLN,NL,1,162,83,79,3.0,N
leylaji99m,1989,PIT,NL,1,164,74,88,5.0,N
hurdlcl01m,2004,COL,NL,1,162,68,94,4.0,N
bicke99m,1884,WS7,AA,2,1,0,1,12.0,N
leyvani99m,1990,PHI,NL,1,162,77,85,4.0,N
streega01m,1930,SLN,NL,1,154,92,62,1.0,N
collite99m,2012,NYN,NL,1,162,74,88,4.0,N
gardero01m,2009,MIN,AL,1,163,87,76,1.0,N
edwardo01m,1988,CLE,AL,1,162,78,84,6.0,N
lachere01m,1982,SEA,AL,1,162,76,86,4.0,N
mckeoja99m,1988,SDN,NL,2,115,67,48,3.0,N
battijo01m,1883,PT1,AA,3,13,2,11,7.0,Y
gardero01m,2012,MIN,AL,1,162,66,96,5.0,N
krolja99m,1980,SLN,NL,2,1,0,1,4.0,N
harribu01m,1956,DET,AL,1,155,82,72,5.0,N
washiro01m,2010,TEX,AL,1,162,90,72,1.0,N
nixonru01m,1982,CIN,NL,2,70,27,43,6.0,N
mcaleji01m,1904,SLA,AL,1,156,65,87,6.0,N
bakerdu01m,2006,CHN,NL,1,162,66,96,6.0,N
mcgrajo01m,1913,NY1,NL,1,156,101,51,1.0,N
rickebr01m,1925,SLN,NL,1,38,13,25,4.0,N
cronijo01m,1944,BOS,AL,1,156,77,77,4.0,Y
rignebi01m,1976,SFN,NL,1,162,74,88,4.0,N
francte01m,2005,BOS,AL,1,162,95,67,2.0,N
mauchge01m,1966,PHI,NL,1,162,87,75,4.0,N
mackco01m,1907,PHA,AL,1,150,88,57,2.0,N
